Borough,Address,Address1,OrganizationName,Faith_Based_Organization,Foundation,New_York_City_Agency,Nonprofit
MN,21 WEST 86 STREET,21 West 86 street,Directions for Our Youth,N,N,N,Y
MN,150 BROADWAY,150 Broadway,League of Women Voters of the City of New York Education Fund,N,N,N,Y
MN,400 BROADWAY,400 Broadway,APICHA - Asian & Pacific Islander Coalition on HIV/AIDS,N,N,N,Y
MN,265 HENRY STREET,265 Henry Street,Henry Street Settlement, Inc.,N,N,N,Y
MN,129 FULTON STREET,129 Fulton Street,Coalition for the Homeless,N,N,N,Y
BK,1140 BROADWAY,1140 Broadway,New Destiny Housing Corporation,N,N,N,Y
BK,20 JAY STREET,20 Jay Street,Oasis Community Corporation,N,N,N,Y
MN,770 BROADWAY,770 Broadway,Iraq and Afghanistan Veterans of America,N,N,N,Y
BX,801 BARTHOLDI STREET,801 Bartholdi Street,The Learning Tree Cultural Center, Inc.,N,N,N,Y
MN,5 HANOVER SQUARE,5 Hanover Square,HELP USA,N,N,N,Y
BK,137 HENRY STREET,137 Henry Street,Immigrant Social Services, Inc.,N,N,N,Y
MN,1140 BROADWAY,1140 Broadway,New Destiny Housing Corporation,N,N,N,Y
MN,62 HAMILTON TERRACE,62 Hamilton Terrace,Childrens Art Carnival,N,N,N,Y
BK,57 WILLOUGHBY STREET,57 Willoughby Street,Housing Works,N,N,N,Y
BK,57 WILLOUGHBY STREET,57 Willoughby Street,Helen Keller Services for the Blind,N,N,N,Y
BK,280 HENRY STREET,280 Henry Street,Betances Health Center,N,N,N,Y
MN,457 MADISON AVENUE,457 Madison Avenue,Municipal Art Society of New York,N,N,N,Y
BK,265 HENRY STREET,265 Henry Street,Henry Street Settlement, Inc.,N,N,N,Y
BK,505 COURT STREET,505 Court Street,Spoons Across America,N,N,N,Y
MN,1440 BROADWAY,1440 Broadway,The After-School Corporation,N,N,N,Y
BK,621 DEGRAW STREET,621 DeGraw Street,Fifth Avenue Committee,N,N,N,Y
BK,145 BROOKLYN AVENUE,145 Brooklyn Avenue,Brooklyn Children's Museum,N,N,N,Y
BK,595 SUTTER AVENUE,595 Sutter Avenue,Groundwork Inc,,N,N,N,Y
BK,1618 MERMAID AVENUE,1618 Mermaid Avenue,Astella Development Corporation,N,N,N,Y
BK,1501 BROADWAY,1501 Broadway,SHARE: Self-Help for Women with Breast or Ovarian Cancer,N,N,N,Y
MN,795 LEXINGTON AVENUE,795 Lexington Avenue,St. John’s Bread and Life,N,N,N,Y
BX,1087 EAST TREMONT AVENUE,1087 East Tremont Avenue,Bronx River Art Center,N,N,N,Y
