Borough,Address,Zip Code,District,Sale Date,Sale Price
,516 WEST 20 STREET,10011,Manhattan 4,03/13/2020,0
,61 7 AVENUE,10011,Manhattan 4,03/25/2020,0
,148 WEST 24 STREET,10011,Manhattan 4,05/15/2020,0
,347 WEST 48 STREET,10036,Manhattan 4,05/06/2020,0
,345 WEST 48 STREET,10036,Manhattan 4,05/06/2020,0
,425 WEST 45 STREET,10036,Manhattan 4,05/20/2020,0
,423 WEST 45 STREET,10036,Manhattan 4,05/20/2020,0
,421 WEST 45 STREET,10036,Manhattan 4,05/20/2020,0
,457 WEST 57 STREET,10019,Manhattan 4,03/09/2020,0
,410 WEST 48 STREET,10036,Manhattan 4,05/29/2020,10084984
,334 WEST 22 STREET,10011,Manhattan 4,03/04/2020,1125000
,400 WEST 58 STREET,10019,Manhattan 4,03/03/2020,1182000
,345 WEST 58 STREET,10019,Manhattan 4,03/11/2020,1195000
,107 WEST 25 STREET,10001,Manhattan 4,05/14/2020,1300000
,340 WEST 55 STREET,10019,Manhattan 4,05/14/2020,1400000
,255 WEST 23 STREET,10011,Manhattan 4,03/06/2020,1450000
,315 WEST 23 STREET,10011,Manhattan 4,05/19/2020,1475000
,79 7 AVENUE,10011,Manhattan 4,05/20/2020,1940000
,207 WEST 21 STREET,10011,Manhattan 4,05/15/2020,220000
,457 WEST 57 STREET,10019,Manhattan 4,05/20/2020,295000
,316 WEST 47 STREET,10036,Manhattan 4,03/06/2020,346380
,349 WEST 44 STREET,10036,Manhattan 4,05/06/2020,383500
,321 WEST 33 STREET,10001,Manhattan 4,03/31/2020,4000000
,509 WEST 23 STREET,10011,Manhattan 4,05/12/2020,4100000
,535 WEST 52 STREET,10019,Manhattan 4,05/13/2020,422328
,465 WEST 46 STREET,10036,Manhattan 4,03/10/2020,422500
,255 WEST 23 STREET,10011,Manhattan 4,03/19/2020,425000
,421 WEST 57 STREET,10019,Manhattan 4,05/11/2020,444086
,316 WEST 51 STREET,10019,Manhattan 4,05/29/2020,4538077
,315 WEST 55 STREET,10019,Manhattan 4,05/11/2020,485000
,454 WEST 46 STREET,10036,Manhattan 4,03/05/2020,487000
,433 WEST 54 STREET,10019,Manhattan 4,05/22/2020,515000
,447 WEST 47 STREET,10036,Manhattan 4,05/29/2020,5468235
,264 WEST 22 STREET,10011,Manhattan 4,05/19/2020,552500
,328 WEST 45 STREET,10036,Manhattan 4,05/27/2020,5600000
,406 WEST 48 STREET,10036,Manhattan 4,05/29/2020,5758704
,408 WEST 34 STREET,10001,Manhattan 4,05/06/2020,629000
,406 WEST 46 STREET,10036,Manhattan 4,03/18/2020,640000
,433 WEST 34 STREET,10001,Manhattan 4,05/14/2020,675000
,325 WEST 45 STREET,10036,Manhattan 4,03/09/2020,710000
,221 WEST 21 STREET,10011,Manhattan 4,03/23/2020,715000
,340 WEST 23 STREET,10011,Manhattan 4,03/06/2020,7550000
,244 WEST 15 STREET,10011,Manhattan 4,03/13/2020,785000
,689 10 AVENUE,10036,Manhattan 4,03/05/2020,8400000
,61 7 AVENUE,10011,Manhattan 4,05/27/2020,960000
