Borough,Address,Total Building Floor Area,Number of Floors,Assessed Total Value,Year Built
QN,73-16 FOREST AVENUE,3372,2,74400,1910
MN,513 WEST 144 STREET,3428,3,73980,1910
BK,578 EAST 28 STREET,3420,2.75,73800,1910
QN,60-92 70 AVENUE,3360,2,73080,1909
QN,2036 PALMETTO STREET,3360,3,74220,1910
QN,66-16 60 STREET,3396,2,75480,1910
BK,1364 38 STREET,3390,2,75060,1910
BK,1148 NOSTRAND AVENUE,3408,3,75060,1910
BK,85 NORTH 7 STREET,3400,3,75720,1910
QN,73-18 FOREST AVENUE,3420,2,75360,1910
QN,60-94 70 AVENUE,3360,2,73080,1908
QN,1934 GREENE AVENUE,3332,2,74700,1910
QN,1841 SUMMERFIELD STREET,3420,2,74160,1910
QN,72-51 61 STREET,3420,2,75540,1910
QN,64-43 74 AVENUE,3420,2,75240,1910
QN,72-46 66 STREET,3384,3,73020,1910
QN,64-39 74 AVENUE,3420,2,74400,1910
QN,64-37 74 AVENUE,3420,2,75120,1910
QN,73-12 FOREST AVENUE,3372,2,74400,1910
QN,63-46 FOREST AVENUE,3387,3,73800,1910
QN,60-02 MADISON STREET,3420,2,74040,1908
QN,60-90 70 AVENUE,3360,2,73080,1909
QN,60-96 70 AVENUE,3360,2,73080,1908
BK,692 MAC DONOUGH STREET,3384,3,75300,1910
QN,60-90 69 AVENUE,3372,2,73380,1909
QN,77-25 79 STREET,3372,2,75480,1910
QN,40-34 162 STREET,3362,3,74460,1910
QN,59-35 CATALPA AVENUE,3330,3,75240,1910
QN,60-88 69 AVENUE,3372,2,73380,1909
