Borough,Address,Executed Date
BX,2886 BRIGGS AVENUE,03/06/2020
BK,518 PENNSYLVANIA AVENUE,03/05/2020
BK,2064 NOSTRAND AVENUE,03/09/2020
BK,3101 FOSTER AVENUE,03/09/2020
BX,1605 HONE AVENUE,03/10/2020
BX,1605 HONE AVENUE,03/10/2020
BX,4067 LOWERRE PLACE,03/03/2020
MN,204 SPRING STREET,03/02/2020
SI,204 SPRING STREET,03/02/2020
BX,2112 STARLING AVENUE,03/03/2020
BK,199 VERONICA PLACE,03/02/2020
BK,199 VERONICA PLACE,03/02/2020
BK,199 VERONICA PLACE,03/02/2020
BK,1 BREVOORT PLACE,03/04/2020
BX,1504 SHERIDAN AVENUE,03/05/2020
BK,4814 AVENUE M,03/06/2020
BX,2803 BOSTON ROAD,03/05/2020
BX,580 WHITTIER STREET,03/03/2020
BX,3536 HULL AVENUE,03/12/2020
BX,4354 PARK AVENUE,03/05/2020
SI,242 MALDEN PLACE,03/02/2020
QN,67-38 108 STREET,03/05/2020
BX,2394 BELMONT AVENUE,03/02/2020
BX,1502 ROSEDALE AVENUE,03/10/2020
BX,1502 ROSEDALE AVENUE,03/10/2020
BK,70 LINDEN BOULEVARD,03/10/2020
QN,11-42 WELLING COURT,03/04/2020
BX,863 MELROSE AVENUE,03/04/2020
BK,539 MACON STREET,03/11/2020
BK,539 MACON STREET,03/11/2020
BK,611 GREENE AVENUE,03/11/2020
BK,153 NORFOLK STREET,03/12/2020
BX,3762 EAST TREMONT AVENUE,03/03/2020
BX,660 EAST 166 STREET,03/03/2020
QN,33-17 87 STREET,03/06/2020
BX,1718 GRAND AVENUE,03/03/2020
BK,1405 BROOKLYN AVENUE,03/09/2020
MN,153 NORFOLK STREET,03/12/2020
BK,94 EAST 31 STREET,03/13/2020
BK,94 EAST 31 STREET,03/13/2020
BK,94 EAST 31 STREET,03/13/2020
QN,48-18 BROADWAY,03/09/2020
BK,357 STOCKHOLM STREET,03/02/2020
BK,357 STOCKHOLM STREET,03/02/2020
BX,2350 WATERBURY AVENUE,03/05/2020
BX,2345 CROTONA AVENUE,03/10/2020
BK,825 CROWN STREET,03/06/2020
MN,616 WEST 184 STREET,03/03/2020
MN,596 EDGECOMBE AVENUE,03/13/2020
BX,1993 MORRIS AVENUE,03/03/2020
BX,1993 MORRIS AVENUE,03/03/2020
SI,120 SHERMAN AVENUE,03/03/2020
