Borough,Address,Building Class
BX,459 BROOK AVENUE,S2
BX,477 BROOK AVENUE,S2
BX,415 EAST 161 STREET,S2
BX,684 COURTLANDT AVENUE,S2
BX,588 MORRIS AVENUE,S2
BX,649 COURTLANDT AVENUE,S2
BX,993 MORRIS AVENUE,S2
BX,764 EAST 149 STREET,S2
BX,764B EAST 149 STREET,S2
BX,352 WILLIS AVENUE,S2
BX,817 UNION AVENUE,S2
BX,792 EAST 161 STREET,S2
BX,788 EAST 163 STREET,S2
BX,794 EAST 163 STREET,S2
BX,2779 3 AVENUE,S2
BX,2781 3 AVENUE,S2
BX,2787 3 AVENUE,S2
BX,1161 INTERVALE AVENUE,S2
BX,411 EAST 152 STREET,S2
BX,413 EAST 161 STREET,S2
BX,967 EAST 165 STREET,S2
BX,927 EAST 169 STREET,S2
BX,936 MORRIS AVENUE,S2
BX,616 BEECH TERRACE,S2
BX,3322 3 AVENUE,S2
BX,3394 3 AVENUE,S2
BX,822 TINTON AVENUE,S2
BX,790 EAST 163 STREET,S2
BX,727 PROSPECT AVENUE,S2
BX,724 PROSPECT AVENUE,S2
BX,932 EAST 165 STREET,S2
BX,933 EAST 169 STREET,S2
BX,931 EAST 169 STREET,S2
BX,929 EAST 169 STREET,S2
BX,1154 SOUTHERN BOULEVARD,S2
BX,1260 SPOFFORD AVENUE,S2
BX,1236 INTERVALE AVENUE,S2
BX,1209 SOUTHERN BOULEVARD,S2
BX,467 EAST 138 STREET,S2
BX,2754 3 AVENUE,S2
BX,362 EAST 146 STREET,S2
BX,2630 3 AVENUE,S2
BX,554 MORRIS AVENUE,S2
BX,323 EAST 149 STREET,S2
BX,3054 3 AVENUE,S2
BX,3058 3 AVENUE,S2
BX,586 MORRIS AVENUE,S2
BX,890 MORRIS AVENUE,S2
BX,798 EAST 161 STREET,S2
BX,784 EAST 163 STREET,S2
BX,862 UNION AVENUE,S2
BX,1220 ELDER AVENUE,S2
BX,963 EAST 165 STREET,S2
BX,917 EAST 169 STREET,S2
BX,294 WILLIS AVENUE,S2
BX,296 WILLIS AVENUE,S2
BX,964 EAST 167 STREET,S2
BX,965 EAST 167 STREET,S2
BX,2776 3 AVENUE,S2
BX,3027 3 AVENUE,S2
BX,602 COURTLANDT AVENUE,S2
BX,626 COURTLANDT AVENUE,S2
BX,792 COURTLANDT AVENUE,S2
BX,594 MORRIS AVENUE,S2
BX,596 MORRIS AVENUE,S2
BX,961 TELLER AVENUE,S2
BX,447 JACKSON AVENUE,S2
BX,3320 3 AVENUE,S2
BX,3324 3 AVENUE,S2
BX,3326 3 AVENUE,S2
BX,362 WILLIS AVENUE,S2
BX,820 TINTON AVENUE,S2
BX,796 EAST 161 STREET,S2
BX,792 EAST 163 STREET,S2
BX,791 EAST 163 STREET,S2
BX,785 EAST 163 STREET,S2
BX,2773 3 AVENUE,S2
BX,290 EAST 149 STREET,S2
BX,909 EAST 156 STREET,S2
BX,930 EAST 165 STREET,S2
BX,3367 3 AVENUE,S2
BX,424 EAST 161 STREET,S2
BX,1121 LONGWOOD AVENUE,S2
BX,1119 LONGWOOD AVENUE,S2
BX,968 EAST 167 STREET,S2
BX,598 MORRIS AVENUE,S2
BX,288 EAST 151 STREET,S2
BX,811 COURTLANDT AVENUE,S2
BX,287 EAST 161 STREET,S2
BX,776 EAST 161 STREET,S2
BX,782 EAST 163 STREET,S2
BX,801 EAST 161 STREET,S2
BX,714 UNION AVENUE,S2
BX,911 AVENUE ST JOHN,S2
BX,986 ROGERS PLACE,S2
BX,1191 LONGWOOD AVENUE,S2
BX,1114 WESTCHESTER AVENUE,S2
BX,838 HUNTS POINT AVENUE,S2
BX,842 HUNTS POINT AVENUE,S2
BX,844 HUNTS POINT AVENUE,S2
BX,1154 WHEELER AVENUE,S2
