Borough,Address,Block,Lot,Energy Star Score,Source EUI,Site EUI,Annual Maximum Demand,Total GHG Emissions
BX,2101 GRAND AVENUE,3206,66,1,185.6,144.2,,265.2
MN,19 EAST 98 STREET,1604,13,1,781,395.2,,1683.4
MN,208 AVENUE OF THE AMER,519,44,5,159.2,114.7,,242.4
BK,1570 EAST 14 STREET,6760,35,1,487.5,440.8,,1575.8
BX,646 EAST 231 STREET,4833,64,7,189.4,156,,633.6
BK,1023 BROADWAY,3204,4,1,213.8,141.4,,219
BK,3602 AVENUE J,7618,42,1,233.4,200.1,,535.7
BK,1101 AVENUE R,6794,53,1,714.1,244.5,,1290.6
BK,6413 24 AVENUE,6562,1,4,171.4,118.5,,268.5
BK,2720 FOSTER AVENUE,5229,83,1,585.2,522.2,,1746.6
BK,514 ROCKAWAY PARKWAY,4717,46,3,164.5,136.2,,182.9
QN,31-33 90 STREET,1402,36,1,191.4,158.1,,315.3
BK,160 HAVEMEYER STREET,2420,22,4,194.4,125.2,,243.1
MN,28 THAYER STREET,2174,217,2,177.8,144.2,,265.1
BX,2763 SEDGWICK AVENUE,3253,51,2,163.8,140.4,,595.8
BK,350 SNEDIKER AVENUE,3782,140,1,280.9,192.4,38.4,712.9
BX,2105 RYER AVENUE,3156,155,1,327.9,267.7,,761.9
MN,201 EAST 25 STREET,906,1,3,177.5,114.7,,1381.7
BX,1201 OGDEN AVENUE,2528,29,7,157.6,117.3,,390.5
MN,111 EAST 118 STREET,1767,5,3,216.4,127.1,152,546.1
BK,1001 FRANKLIN AVENUE,1273,1,6,168.9,117.6,,367.6
MN,1360 AVENUE OF THE AMER,1271,7501,7,150.9,102.2,,1265.3
MN,1 EAST 35 STREET,865,7502,6,162.9,109.8,,668.5
BK,103 COURT STREET,271,23,7,205.5,94.7,,343.7
BX,2545 UNIVERSITY AVENUE,3220,90,1,395.5,251.2,,1925.3
BX,260 EAST 207 STREET,3342,29,1,267.1,153.2,,492.2
MN,522 LENOX AVENUE,1734,1,7,556.6,319.7,,22493.4
QN,120-08 97 AVENUE,9460,1,5,157.2,124.7,,286.3
BK,601 ALBANY AVENUE,4813,1,1,252,230.5,,1508.9
BX,4648 PARK AVENUE,3040,3,3,168.5,121.3,,597.1
BX,963 ANDERSON AVENUE,2507,29,1,216.3,174.2,,519.2
BK,1420 50 STREET,5650,14,1,201.8,97.8,,184.5
MN,215 LEXINGTON AVENUE,888,7502,1,54463.1,45207.9,,625243.4
MN,523 WEST 187 STREET,2159,29,4,171.2,141.5,,373.7
MN,145 2 AVENUE,465,55,1,335,219.2,,343
BX,1997 HUGHES AVENUE,3068,81,1,206.9,169.9,,699.5
MN,185 AUDUBON AVENUE,2131,29,5,227.6,183.6,,259.9
BK,645 GRAND AVENUE,1162,1,2,371.7,176.4,,158.3
BX,4143 3 AVENUE,2923,18,3,291.4,110.7,478.1,698.9
BX,2565 GRAND CONCOURSE,3167,55,2,205.5,163.5,,478.7
BK,1531 48 STREET,5442,65,6,196.5,108.7,,225.1
BK,174 LINDEN STREET,3333,17,7,128.9,97.6,,192.8
BX,3010 VALENTINE AVENUE,3307,7,6,167.3,133.7,,274.8
BX,181 WEST TREMONT AVENUE,2879,50,5,153.1,125.4,,264.2
BX,2183 VALENTINE AVENUE,3149,147,4,174.8,140.2,,532.4
BK,294 WEBSTER AVENUE,5421,31,1,252.8,216.1,,304.7
MN,21 2 AVENUE,457,28,1,270,125.6,,1114.1
BX,111 EAST 210 STREET,3327,1,1,789.8,598.1,,7234.3
