Borough,Address,Year Built,Building Class,Sale Date,Sale Price,Filing Date
QUEENS,35-15P 19TH AVENUE,1930,V1,01/30/2020,71610000,03/24/2020
BROOKLYN,1 DIVISION AVENUE,1946,F5,05/27/2020,51190527,08/31/2020
BROOKLYN,1 DIVISION AVENUE,1946,F5,05/27/2020,51190527,08/31/2020
BROOKLYN,470 KENT AVENUE,1940,F5,05/27/2020,51190527,08/31/2020
BROOKLYN,470 KENT AVENUE,1940,F5,05/27/2020,51190527,08/31/2020
QUEENS,35-15E 19TH AVENUE,1930,V1,01/30/2020,71610000,03/24/2020
BROOKLYN,29 JAY STREET,1977,J2,03/23/2020,61500000,11/17/2020
BROOKLYN,29 JAY STREET,1977,J2,03/23/2020,61500000,11/17/2020
QUEENS,35-15 19TH AVENUE,1930,V1,01/30/2020,71610000,03/02/2020
QUEENS,35-15J 19TH AVENUE,1930,V1,01/30/2020,71610000,04/09/2020
BROOKLYN,29 JAY STREET,1977,J2,03/23/2020,61500000,06/04/2020
BROOKLYN,29 JAY STREET,1977,J2,03/23/2020,61500000,06/04/2020
QUEENS,35-15 19TH AVENUE,1930,V1,01/30/2020,71610000,03/02/2020
QUEENS,35-15G 19TH AVENUE,1930,V1,01/30/2020,71610000,03/24/2020
QUEENS,35-15A 19TH AVENUE,1930,V1,01/30/2020,71610000,04/09/2020
QUEENS,35-15 19TH AVENUE,1930,V1,01/30/2020,71610000,03/02/2020
QUEENS,35-15Q 19TH AVENUE,1930,V1,01/30/2020,71610000,03/24/2020
QUEENS,35-15K 19TH AVENUE,1930,V1,01/30/2020,71610000,03/24/2020
QUEENS,35-15F 19TH AVENUE,1930,V1,01/30/2020,71610000,03/24/2020
QUEENS,35-15H 19TH AVENUE,1930,V1,01/30/2020,71610000,03/24/2020
QUEENS,35-15B 19TH AVENUE,1930,V1,01/30/2020,71610000,03/24/2020
QUEENS,35-15D 19TH AVENUE,1930,V1,01/30/2020,71610000,03/24/2020
QUEENS,35-15R 19TH AVENUE,1930,V1,01/30/2020,71610000,03/24/2020
QUEENS,35-15M 19TH AVENUE,1930,V1,01/30/2020,71610000,03/24/2020
QUEENS,35-15N 19TH AVENUE,1930,V1,01/30/2020,71610000,03/24/2020
QUEENS,35-15C 19TH AVENUE,1930,V1,01/30/2020,71610000,03/24/2020
