Borough,Address,Zip Code,District,Sale Date,Sale Price
MN,80 GOLD STREET,10038,Manhattan 1,04/30/2020,0
MN,110 SOUTH STREET,10038,Manhattan 1,03/05/2020,0
MN,80 GOLD STREET,10038,Manhattan 1,03/27/2020,1039000
MN,80 GOLD STREET,10038,Manhattan 1,03/17/2020,1068000
MN,80 GOLD STREET,10038,Manhattan 1,05/20/2020,1279000
MN,80 GOLD STREET,10038,Manhattan 1,05/11/2020,1300000
MN,472 GREENWICH STREET,10013,Manhattan 1,04/28/2020,1580000
MN,177 FRANKLIN STREET,10013,Manhattan 1,03/20/2020,18000000
MN,100 HUDSON STREET,10013,Manhattan 1,03/17/2020,1850000
MN,44 WALL STREET,10005,Manhattan 1,03/10/2020,200000000
MN,70 THOMAS STREET,10013,Manhattan 1,03/03/2020,2200000
MN,258 BROADWAY,10007,Manhattan 1,03/05/2020,2250000
MN,474 GREENWICH STREET,10013,Manhattan 1,03/19/2020,2900000
MN,176 BROADWAY,10038,Manhattan 1,05/05/2020,3250000
MN,84 THOMAS STREET,10013,Manhattan 1,05/01/2020,3250000
MN,55 HUDSON STREET,10013,Manhattan 1,03/13/2020,3300000
MN,80 GOLD STREET,10038,Manhattan 1,05/20/2020,500000
MN,80 GOLD STREET,10038,Manhattan 1,04/28/2020,680000
MN,80 GOLD STREET,10038,Manhattan 1,05/08/2020,700000
MN,80 GOLD STREET,10038,Manhattan 1,03/19/2020,700000
MN,36 WALKER STREET,10013,Manhattan 1,03/16/2020,8575000
MN,80 GOLD STREET,10038,Manhattan 1,03/24/2020,878000
MN,80 GOLD STREET,10038,Manhattan 1,03/12/2020,880000
MN,80 GOLD STREET,10038,Manhattan 1,03/12/2020,960000
MN,80 GOLD STREET,10038,Manhattan 1,03/06/2020,999875
