Borough,Address,Elevator Device Type,Job Number,Filing Type,Filing Status,Filing Date
MN,11 STONE STREET,Dumbwaiter,M00154866,New Filing,Permit Entire,04/15/2019
MN,11 STONE STREET,Dumbwaiter,M00154866,New Filing,Permit Entire,04/15/2019
MN,510 WEST 46 STREET,Dumbwaiter,M00349960,New Filing,Permit Entire,05/21/2020
MN,1 WALL STREET,Dumbwaiter,M00314381,New Filing,Permit Entire,04/30/2020
MN,17 SOUTH WILLIAM STREET,Dumbwaiter,M00176988,New Filing,Permit Entire,06/20/2019
MN,95 SOUTH STREET,Dumbwaiter,M00065437,New Filing,Signed Off,01/08/2019
MN,1441 BROADWAY,Dumbwaiter,M00014859,New Filing,Signed Off,01/31/2018
MN,1345 AVENUE OF THE AMER,Dumbwaiter,M00157068,New Filing,Permit Entire,04/23/2019
MN,1345 AVENUE OF THE AMER,Dumbwaiter,M00157068,New Filing,Permit Entire,04/23/2019
MN,250 WEST 47 STREET,Dumbwaiter,M00194060,New Filing,Signed Off,07/30/2019
MN,1565 BROADWAY,Dumbwaiter,M00006001,New Filing,Signed Off,01/18/2018
MN,1740 BROADWAY,Dumbwaiter,M00286641,New Filing,Sign Off Review in Progress,01/08/2020
MN,610 9 AVENUE,Dumbwaiter,M00051940,New Filing,Signed Off,06/14/2018
MN,319 WEST 125 STREET,Dumbwaiter,M00338332,New Filing,Permit Entire,05/05/2020
MN,842 GREENWICH STREET,Dumbwaiter,M00066678,New Filing,Signed Off,08/29/2018
MN,730 5 AVENUE,Dumbwaiter,M00102341,New Filing,Signed Off,12/14/2018
MN,641 5 AVENUE,Dumbwaiter,M00223901,New Filing,Signed Off,09/12/2019
MN,61 9 AVENUE,Dumbwaiter,M00031763,New Filing,Permit Entire,04/05/2018
MN,61 9 AVENUE,Dumbwaiter,M00031780,New Filing,Signed Off,04/05/2018
MN,334 WEST 20 STREET,Dumbwaiter,M00252279,New Filing,Permit Entire,10/29/2019
MN,19 EAST 70 STREET,Dumbwaiter,M00095514,New Filing,Permit Entire,11/07/2018
MN,525 PARK AVENUE,Dumbwaiter,M00048580,New Filing,Signed Off,07/06/2018
MN,28 WEST 56 STREET,Dumbwaiter,M00223624,PAA,Approved,11/12/2019
MN,28 WEST 56 STREET,Dumbwaiter,M00223624,New Filing,Signed Off,10/02/2019
MN,284 MADISON AVENUE,Dumbwaiter,M00177031,New Filing,Signed Off,06/07/2019
MN,270 PARK AVENUE,Dumbwaiter,M00199690,New Filing,Permit Entire,11/26/2019
MN,731 5 AVENUE,Dumbwaiter,M00330981,New Filing,Permit Entire,04/29/2020
MN,731 5 AVENUE,Dumbwaiter,M00330981,New Filing,Permit Entire,04/29/2020
MN,721 5 AVENUE,Dumbwaiter,M00037582,New Filing,Signed Off,04/27/2018
MN,498 7 AVENUE,Dumbwaiter,M00127620,New Filing,Signed Off,02/25/2019
MN,437 LEXINGTON AVENUE,Dumbwaiter,M00165185,New Filing,Signed Off,07/17/2019
MN,112 WEST 25 STREET,Dumbwaiter,M00289158,New Filing,Signed Off,12/30/2019
MN,112 WEST 25 STREET,Dumbwaiter,M00289158,New Filing,Signed Off,12/30/2019
MN,20 EAST 95 STREET,Dumbwaiter,M00165011,New Filing,Signed Off,06/26/2019
MN,29 EAST 69 STREET,Dumbwaiter,M00013862,New Filing,Signed Off,02/22/2018
MN,1385 BROADWAY,Dumbwaiter,M00084104,New Filing,Signed Off,10/26/2018
MN,678 AVENUE OF THE AMER,Dumbwaiter,M00115359,New Filing,Signed Off,01/11/2019
MN,115 EAST 73 STREET,Dumbwaiter,M00058821,New Filing,Signed Off,07/06/2018
MN,5 WEST 31 STREET,Dumbwaiter,M00077945,New Filing,Signed Off,09/17/2018
MN,338 5 AVENUE,Dumbwaiter,M00341754,New Filing,Permit Entire,04/21/2020
MN,338 5 AVENUE,Dumbwaiter,M00341754,New Filing,Permit Entire,04/21/2020
MN,102 MOTT STREET,Dumbwaiter,M00150638,New Filing,Signed Off,04/11/2019
MN,40 EAST END AVENUE,Dumbwaiter,M00137930,New Filing,Permit Entire,03/06/2019
MN,2 PARK AVENUE,Dumbwaiter,M00346571,New Filing,Signed Off,05/21/2020
MN,2 PARK AVENUE,Dumbwaiter,M00346571,New Filing,Signed Off,05/21/2020
MN,151 GRAND STREET,Dumbwaiter,M00236356,New Filing,Signed Off,11/14/2019
MN,136 EAST 39 STREET,Dumbwaiter,M00075403,New Filing,Signed Off,10/22/2018
MN,1514 BROADWAY,Dumbwaiter,M00125951,New Filing,Signed Off,03/27/2019
MN,152 WEST 49 STREET,Dumbwaiter,M00063453,New Filing,Signed Off,07/26/2018
MN,152 WEST 49 STREET,Dumbwaiter,M00063453,PAA,Approved,11/30/2018
MN,152 WEST 49 STREET,Dumbwaiter,M00063453,New Filing,Signed Off,07/26/2018
MN,152 WEST 49 STREET,Dumbwaiter,M00063453,PAA,Approved,11/30/2018
MN,416 EAST 118 STREET,Dumbwaiter,M00350640,New Filing,Permit Entire,05/28/2020
MN,416 EAST 118 STREET,Dumbwaiter,M00350640,New Filing,Permit Entire,05/28/2020
MN,224 WEST 49 STREET,Dumbwaiter,M00113919,New Filing,Signed Off,01/21/2019
MN,111 WEST 105 STREET,Dumbwaiter,M00182477,New Filing,Signed Off,10/21/2019
MN,27 DIVISION STREET,Dumbwaiter,M00178971,New Filing,Signed Off,06/20/2019
MN,11 DIVISION STREET,Dumbwaiter,M00286025,New Filing,Permit Entire,12/26/2019
MN,11 DIVISION STREET,Dumbwaiter,M00287460,New Filing,Permit Entire,03/13/2020
MN,203 WEST 90 STREET,Dumbwaiter,M00139134,New Filing,Signed Off,03/21/2019
MN,330 RIVERSIDE DRIVE,Dumbwaiter,M00219213,New Filing,Permit Entire,09/13/2019
MN,1250 AVENUE OF THE AMER,Dumbwaiter,M00284065,New Filing,Signed Off,01/17/2020
MN,280 PARK AVENUE,Dumbwaiter,M00306445,New Filing,Signed Off,02/11/2020
MN,280 PARK AVENUE,Dumbwaiter,M00306445,New Filing,Signed Off,02/11/2020
MN,609 5 AVENUE,Dumbwaiter,M00141804,New Filing,Signed Off,04/04/2019
MN,57 EAST 52 STREET,Dumbwaiter,M00129740,New Filing,Signed Off,03/14/2019
MN,370 PARK AVENUE,Dumbwaiter,M00182809,New Filing,Signed Off,09/12/2019
MN,566 LEXINGTON AVENUE,Dumbwaiter,M00006011,New Filing,Signed Off,01/10/2018
MN,826 MADISON AVENUE,Dumbwaiter,M00198639,New Filing,Signed Off,08/13/2019
MN,730 PARK AVENUE,Dumbwaiter,M00213521,New Filing,Permit Entire,08/29/2019
MN,81 BOWERY,Dumbwaiter,M00158601,New Filing,Signed Off,05/31/2019
MN,39 EAST 74 STREET,Dumbwaiter,M00140140,New Filing,Signed Off,03/22/2019
MN,125 CANAL STREET,Dumbwaiter,M00037864,New Filing,Permit Entire,07/11/2018
MN,12 EAST 77 STREET,Dumbwaiter,M00137458,New Filing,Permit Entire,04/17/2019
MN,165 EAST 66TH ST,Dumbwaiter,M00049391,New Filing,Signed Off,06/06/2018
MN,1176 YORK AVENUE,Dumbwaiter,M00043250,New Filing,Signed Off,05/15/2018
MN,1176 YORK AVENUE,Dumbwaiter,M00043250,PAA,Approved,06/20/2018
MN,125 DELANCEY STREET,Dumbwaiter,M00006021,New Filing,Signed Off,02/09/2018
BX,2340 CAMBRELENG AVENUE,Dumbwaiter,X00126723,New Filing,Signed Off,02/13/2019
MN,133 WEST 119 STREET,Dumbwaiter,M00018460,New Filing,Signed Off,06/19/2018
MN,119 ST MARKS PLACE,Dumbwaiter,M00275748,New Filing,Permit Entire,02/03/2020
MN,77 2 AVENUE,Dumbwaiter,M00033580,New Filing,Permit Entire,04/11/2018
MN,341 WEST BROADWAY,Dumbwaiter,M00069460,New Filing,Signed Off,09/27/2018
MN,341 WEST BROADWAY,Dumbwaiter,M00069460,PAA,Approved,11/30/2018
MN,74 WOOSTER STREET,Dumbwaiter,M00135954,New Filing,Signed Off,03/26/2019
MN,375 WEST BROADWAY,Dumbwaiter,M00064778,New Filing,Signed Off,01/17/2019
MN,30 SULLIVAN STREET,Dumbwaiter,M00029414,New Filing,Signed Off,08/15/2018
BX,570 EAST 137 STREET,Dumbwaiter,X00322196,New Filing,Permit Entire,02/28/2020
MN,151 MERCER STREET,Dumbwaiter,M00026723,New Filing,Signed Off,03/21/2018
MN,151 MERCER STREET,Dumbwaiter,M00026723,PAA,Approved,05/08/2019
MN,41 KING STREET,Dumbwaiter,M00342001,New Filing,Permit Entire,05/06/2020
MN,41 KING STREET,Dumbwaiter,M00342001,New Filing,Permit Entire,05/06/2020
MN,35 BOND STREET,Dumbwaiter,M00126051,New Filing,Signed Off,02/28/2019
MN,686 BROADWAY,Dumbwaiter,M00047266,New Filing,Signed Off,07/26/2018
BX,111 EAST 172 STREET,Dumbwaiter,X00048394,New Filing,Signed Off,06/12/2018
MN,50 EAST 8 STREET,Dumbwaiter,M00048671,New Filing,Signed Off,06/12/2018
MN,4 EAST 10 STREET,Dumbwaiter,M00270668,New Filing,Signed Off,12/12/2019
MN,21 WEST 10 STREET,Dumbwaiter,M00083980,PAA,Approved,01/13/2020
MN,21 WEST 10 STREET,Dumbwaiter,M00083980,New Filing,Signed Off,10/10/2018
BX,4462 PARK AVENUE,Dumbwaiter,X00066664,New Filing,Signed Off,08/30/2018
MN,245 WEST 4 STREET,Dumbwaiter,M00321545,New Filing,Permit Entire,03/12/2020
MN,77 CHARLES STREET,Dumbwaiter,M00131645,New Filing,Permit Entire,05/09/2019
MN,58 BANK STREET,Dumbwaiter,M00181149,New Filing,Signed Off,07/03/2019
BK,200 MONTAGUE STREET,Dumbwaiter,B00224625,New Filing,Signed Off,11/04/2019
MN,20 WEST 33 STREET,Dumbwaiter,M00141748,PAA,Approved,12/30/2019
MN,20 WEST 33 STREET,Dumbwaiter,M00141748,New Filing,Signed Off,03/25/2019
MN,59 WEST 37 STREET,Dumbwaiter,M00310040,New Filing,Permit Entire,02/27/2020
MN,860 BROADWAY,Dumbwaiter,M00099752,New Filing,Signed Off,12/14/2018
MN,278 PARK AVENUE SOUTH,Dumbwaiter,M00088109,New Filing,Signed Off,10/16/2018
MN,287 PARK AVENUE SOUTH,Dumbwaiter,M00204389,New Filing,Signed Off,08/07/2019
MN,111 EAST 22 STREET,Dumbwaiter,M00181487,New Filing,Signed Off,08/14/2019
MN,111 EAST 22 STREET,Dumbwaiter,M00181487,New Filing,Signed Off,08/14/2019
MN,685 1 AVENUE,Dumbwaiter,M00028883,New Filing,Signed Off,03/26/2018
MN,130 WEST 42 STREET,Dumbwaiter,M00099761,New Filing,Signed Off,11/15/2018
MN,1462 BROADWAY,Dumbwaiter,M00265170,New Filing,Permit Entire,11/19/2019
MN,1462 BROADWAY,Dumbwaiter,M00246904,New Filing,Permit Entire,11/19/2019
MN,1462 BROADWAY,Dumbwaiter,M00246904,New Filing,Permit Entire,11/19/2019
MN,146 WEST 47 STREET,Dumbwaiter,M00303875,New Filing,Signed Off,01/28/2020
MN,353 WEST 46 STREET,Dumbwaiter,M00210230,New Filing,Permit Entire,10/02/2019
BK,5922 8 AVENUE,Dumbwaiter,B00165408,New Filing,Signed Off,06/04/2019
BK,5922 8 AVENUE,Dumbwaiter,B00165408,New Filing,Signed Off,06/04/2019
MN,52 WEST 85 STREET,Dumbwaiter,M00263553,New Filing,Permit Entire,11/20/2019
MN,45 WEST 45 STREET,Dumbwaiter,M00051956,New Filing,Signed Off,06/15/2018
MN,383 MADISON AVENUE,Dumbwaiter,M00095521,New Filing,Signed Off,11/07/2018
MN,100 EAST 53 STREET,Dumbwaiter,M00145351,New Filing,Signed Off,03/27/2019
MN,216 EAST 53 STREET,Dumbwaiter,M00152484,New Filing,Permit Entire,04/10/2019
MN,57 EAST 64 STREET,Dumbwaiter,M00068505,New Filing,Signed Off,09/19/2018
MN,57 EAST 64 STREET,Dumbwaiter,M00068505,New Filing,Signed Off,09/19/2018
MN,116 EAST 78 STREET,Dumbwaiter,M00124715,New Filing,Permit Entire,03/06/2019
BK,149 NORTH 6 STREET,Dumbwaiter,B00081215,New Filing,Signed Off,10/15/2018
MN,3207 BROADWAY,Dumbwaiter,M00083972,New Filing,Signed Off,10/04/2018
BK,44 COURT STREET,Dumbwaiter,B00124471,New Filing,Signed Off,04/12/2019
BK,1669 50 STREET,Dumbwaiter,B00119210,New Filing,Permit Entire,01/29/2019
BK,5810 8 AVENUE,Dumbwaiter,B00203400,New Filing,Permit Entire,08/30/2019
BK,227 ROGERS AVENUE,Dumbwaiter,B00106945,New Filing,Signed Off,03/15/2019
QN,32-21 NEWTOWN AVENUE,Dumbwaiter,Q00139472,New Filing,Permit Entire,03/13/2020
BK,565 LIVONIA AVENUE,Dumbwaiter,B00075132,New Filing,Permit Entire,09/06/2018
BK,2701 EMMONS AVENUE,Dumbwaiter,B00015681,New Filing,Signed Off,02/14/2018
BK,57 FRONT STREET,Dumbwaiter,B00310513,New Filing,Permit Entire,02/19/2020
BK,336 FLATBUSH AVENUE EXT,Dumbwaiter,B00318990,New Filing,Permit Entire,03/04/2020
BK,8 MONTAGUE TERRACE,Dumbwaiter,B00009478,New Filing,Signed Off,01/25/2018
QN,20-07 127 STREET,Dumbwaiter,Q00122365,New Filing,Signed Off,03/27/2019
BK,5108 7 AVENUE,Dumbwaiter,B00316573,New Filing,Permit Entire,02/18/2020
QN,33-34 80 STREET,Dumbwaiter,Q00178857,New Filing,Signed Off,06/13/2019
BK,124 9 STREET,Dumbwaiter,B00192628,New Filing,Permit Entire,11/07/2019
QN,60-02 MAIN STREET,Dumbwaiter,Q00220627,New Filing,Signed Off,09/13/2019
QN,86-18 BROADWAY,Dumbwaiter,Q00101453,New Filing,Signed Off,11/20/2018
QN,59-25 LITTLE NECK PARKWAY,Dumbwaiter,Q00017843,New Filing,Signed Off,02/28/2018
QN,135-15 37 AVENUE,Dumbwaiter,Q00083322,New Filing,Signed Off,10/03/2018
SI,142 MANSION AVENUE,Dumbwaiter,S00090209,New Filing,Signed Off,11/08/2018
QN,35-33 104 STREET,Dumbwaiter,Q00230259,New Filing,Signed Off,11/01/2019
QN,35-33 104 STREET,Dumbwaiter,Q00230259,New Filing,Signed Off,11/01/2019
