Borough,Address,Block,Lot,Energy Star Score,Source EUI,Site EUI,Annual Maximum Demand,Total GHG Emissions
MN,208 AVENUE OF THE AMER,,,,,,,
BK,6413 24 AVENUE,,,,,,,
BK,514 ROCKAWAY PARKWAY,,,,,,,
BK,160 HAVEMEYER STREET,,,,,,,
BX,2763 SEDGWICK AVENUE,,,,,,,
MN,201 EAST 25 STREET,,,,,,,
MN,111 EAST 118 STREET,,,,,,,
BK,1001 FRANKLIN AVENUE,,,,,,,
MN,1 EAST 35 STREET,,,,,,,
QN,120-08 97 AVENUE,,,,,,,
BX,4648 PARK AVENUE,,,,,,,
MN,523 WEST 187 STREET,,,,,,,
MN,185 AUDUBON AVENUE,,,,,,,
BX,4143 3 AVENUE,,,,,,,
BK,1531 48 STREET,,,,,,,
BX,3010 VALENTINE AVENUE,,,,,,,
BX,181 WEST TREMONT AVENUE,,,,,,,
BX,2183 VALENTINE AVENUE,,,,,,,
BX,111 EAST 210 STREET,,,,,,,
MN,305 WEST 52 STREET,,,,,,,
MN,138 LAFAYETTE STREET,,,,,,,
QN,84-53 DANA COURT,,,,,,,
BK,2000 84 STREET,,,,,,,
MN,114 EAST 32 STREET,,,,,,,
MN,28 ELLWOOD STREET,,,,,,,
BK,68 HARRISON AVENUE,,,,,,,
BK,1655 FLATBUSH AVENUE,,,,,,,
BK,1681 65 STREET,,,,,,,
MN,3181 BROADWAY,,,,,,,
MN,2082 ADAM C POWELL BLVD,,,,,,,
BX,1974 HUGHES AVENUE,,,,,,,
MN,575 WEST 175 STREET,,,,,,,
QN,63-19 AUSTIN STREET,,,,,,,
MN,2 COOPER SQUARE,,,,,,,
BK,7101 AVENUE T,,,,,,,
MN,420 EAST 72 STREET,,,,,,,
QN,2-40 51 AVENUE,,,,,,,
BX,3418 GATES PLACE,,,,,,,
MN,165 CHAMBERS STREET,,,,,,,
MN,21 SOUTH END AVENUE,,,,,,,
MN,58 WEST 58 STREET,,,,,,,
QN,16-31 163 STREET,,,,,,,
MN,308 WEST 93 STREET,,,,,,,
QN,164-03 89 AVENUE,,,,,,,
MN,80 GROVE STREET,,,,,,,
BK,136 ATLANTIC AVENUE,,,,,,,
BX,1660 CROTONA PARK EAST,,,,,,,
BX,2165 RYER AVENUE,,,,,,,
MN,180 CLAREMONT AVENUE,,,,,,,
QN,135-30 140 STREET,,,,,,,
BK,1375 EAST 18 STREET,,,,,,,
MN,2700 BROADWAY,,,,,,,
BX,3536 CAMBRIDGE AVENUE,,,,,,,
BX,3035 WHITE PLAINS ROAD,,,,,,,
MN,275 GREENWICH STREET,,,,,,,
MN,139 EAST 63 STREET,,,,,,,
BK,16 94 STREET,,,,,,,
BK,563 DUMONT AVENUE,,,,,,,
BK,652 KENT AVENUE,,,,,,,
BK,1690 60 STREET,,,,,,,
MN,775 COLUMBUS AVENUE,,,,,,,
BX,666 KAPPOCK STREET,,,,,,,
BX,1930 GRAND CONCOURSE,,,,,,,
BK,430 EAST 8 STREET,,,,,,,
BK,268 BUFFALO AVENUE,,,,,,,
MN,251 EAST 32 STREET,,,,,,,
QN,89-23 171 STREET,,,,,,,
BX,2 EAST 167 STREET,,,,,,,
BK,8801 FOSTER AVENUE,,,,,,,
QN,60-52 MADISON STREET,,,,,,,
MN,10 DOWNING STREET,,,,,,,
BX,2162 VALENTINE AVENUE,,,,,,,
QN,45-45 CENTER BOULEVARD,,,,,,,
MN,2243 3 AVENUE,,,,,,,
MN,74 EAST 79 STREET,,,,,,,
MN,180 10 AVENUE,,,,,,,
BX,1056 BOYNTON AVENUE,,,,,,,
BK,94 MASPETH AVENUE,,,,,,,
MN,340 EAST 64 STREET,,,,,,,
QN,166-40 89 AVENUE,,,,,,,
BK,419 HENDRIX STREET,,,,,,,
QN,46-15 SKILLMAN AVENUE,,,,,,,
MN,440 WEST 163 STREET,,,,,,,
BX,3151 PERRY AVENUE,,,,,,,
BX,1956 CROTONA PARKWAY,,,,,,,
BK,308 STERLING STREET,,,,,,,
MN,536 WEST 153 STREET,,,,,,,
MN,321 EAST 45 STREET,,,,,,,
BX,110 MT HOPE PLACE,,,,,,,
BX,2078 MORRIS AVENUE,,,,,,,
MN,20 RIVER TERRACE,,,,,,,
BK,435 EAST 92 STREET,,,,,,,
MN,145 AUDUBON AVENUE,,,,,,,
MN,2609 BROADWAY,,,,,,,
MN,87 GREENWICH AVENUE,,,,,,,
BK,52 92 STREET,,,,,,,
SI,100 ESSEX DRIVE,,,,,,,
MN,425 3 AVENUE,,,,,,,
MN,40 BOND STREET,,,,,,,
MN,144 WEST 14 STREET,,,,,,,
MN,17 WEST 32 STREET,,,,,,,
MN,77 WEST 68 STREET,,,,,,,
MN,309 WEST 93 STREET,,,,,,,
BX,162 WEST 165 STREET,,,,,,,
BX,351 EAST 152 STREET,,,,,,,
MN,1327 MADISON AVENUE,,,,,,,
MN,2000 BROADWAY,,,,,,,
MN,500 WEST 53 STREET,,,,,,,
QN,78-19 37 AVENUE,,,,,,,
QN,130-30 31 AVENUE,,,,,,,
BX,1925 MONTEREY AVENUE,,,,,,,
BX,1490 BOSTON ROAD,,,,,,,
MN,200 WEST 26 STREET,,,,,,,
BK,250 CLARKSON AVENUE,,,,,,,
BK,450 EAST 34 STREET,,,,,,,
QN,10-63 JACKSON AVENUE,,,,,,,
BK,601 79 STREET,,,,,,,
BX,65 FEATHERBED LANE,,,,,,,
BX,200 WEST 167 STREET,,,,,,,
MN,1031 AVENUE OF THE AMER,,,,,,,
BX,3511 BARNES AVENUE,,,,,,,
BX,1221 WHITE PLAINS ROAD,,,,,,,
BX,2680 PARK AVENUE,,,,,,,
BX,1346 CLINTON AVENUE,,,,,,,
BX,999 EAST 180 STREET,,,,,,,
MN,49 WEST 24 STREET,,,,,,,
QN,150-24 NORTHERN BOULEVARD,,,,,,,
QN,138-06 78 AVENUE,,,,,,,
MN,188 AVENUE OF THE AMER,,,,,,,
MN,677 WASHINGTON STREET,,,,,,,
BK,1325 EAST 19 STREET,,,,,,,
MN,1 JACOBUS PLACE,,,,,,,
BX,1358 SHERIDAN AVENUE,,,,,,,
BX,1434 OGDEN AVENUE,,,,,,,
MN,22 WEST 15 STREET,,,,,,,
MN,111 EAST 30 STREET,,,,,,,
MN,184 LEXINGTON AVENUE,,,,,,,
MN,240 CENTRAL PARK SOUTH,,,,,,,
MN,224 EAST 60 STREET,,,,,,,
BX,386 EAST FORDHAM ROAD,,,,,,,
SI,4343 AMBOY ROAD,,,,,,,
BX,3500 EDSON AVENUE,,,,,,,
BK,500 MONTGOMERY STREET,,,,,,,
QN,31-10 48 AVENUE,,,,,,,
BX,2008 BRYANT AVENUE,,,,,,,
SI,800 VICTORY BOULEVARD,,,,,,,
BK,3280 NOSTRAND AVENUE,,,,,,,
MN,322 EAST 57 STREET,,,,,,,
BX,1705 ANDREWS AVENUE SOUTH,,,,,,,
MN,50 CENTRAL PARK SOUTH,,,,,,,
MN,305 EAST 85 STREET,,,,,,,
BX,1175 FINDLAY AVENUE,,,,,,,
BK,26 BROADWAY,,,,,,,
BK,116 LENOX ROAD,,,,,,,
BK,1001 EAST 108 STREET,,,,,,,
QN,188-02 64 AVENUE,,,,,,,
BK,780 ST MARKS AVENUE,,,,,,,
QN,152-01 ROCKAWAY BOULEVARD,,,,,,,
BK,305 DECATUR STREET,,,,,,,
BK,2525 CHURCH AVENUE,,,,,,,
MN,425 WEST 46 STREET,,,,,,,
MN,4180 BROADWAY,,,,,,,
MN,287 EDGECOMBE AVENUE,,,,,,,
BX,946 COLLEGE AVENUE,,,,,,,
BX,710 HUNTS POINT AVENUE,,,,,,,
BX,1401 TELLER AVENUE,,,,,,,
MN,22 RENWICK STREET,,,,,,,
BX,329 EAST 197 STREET,,,,,,,
BX,3018 HEATH AVENUE,,,,,,,
MN,288 AUDUBON AVENUE,,,,,,,
QN,24-01 BROOKLYN QUEENS EP W,,,,,,,
MN,159 EAST 30 STREET,,,,,,,
MN,680 ST NICHOLAS AVENUE,,,,,,,
BX,301 EAST GUN HILL ROAD,,,,,,,
BK,2659 WEST 36 STREET,,,,,,,
MN,371 WADSWORTH AVENUE,,,,,,,
MN,1361 AVENUE OF THE AMER,,,,,,,
BX,1780 EASTBURN AVENUE,,,,,,,
BX,2125 SOUTHERN BOULEVARD,,,,,,,
MN,841 10 AVENUE,,,,,,,
MN,479 1 AVENUE,,,,,,,
MN,600 WEST 169 STREET,,,,,,,
BX,1660 TOPPING AVENUE,,,,,,,
BX,1790 WEEKS AVENUE,,,,,,,
BX,2285 BATHGATE AVENUE,,,,,,,
BX,1721 GRAND AVENUE,,,,,,,
QN,6-31 BEACH 9 STREET,,,,,,,
MN,614 WEST 135 STREET,,,,,,,
MN,408 MANHATTAN AVENUE,,,,,,,
QN,40-05 HAMPTON STREET,,,,,,,
MN,14 MORNINGSIDE AVENUE,,,,,,,
BX,150 WEST 197 STREET,,,,,,,
MN,108 EAST 96 STREET,,,,,,,
BX,855 EAST 178 STREET,,,,,,,
MN,421 EAST 60 STREET,,,,,,,
BX,2357 PROSPECT AVENUE,,,,,,,
BX,1051 ELDER AVENUE,,,,,,,
MN,227 CENTRAL PARK WEST,,,,,,,
MN,2580 AMSTERDAM AVENUE,,,,,,,
BK,145 EAST 18 STREET,,,,,,,
MN,717 8 AVENUE,,,,,,,
MN,1320 ST NICHOLAS AVENUE,,,,,,,
BX,1335 COLLEGE AVENUE,,,,,,,
QN,20-46 31 STREET,,,,,,,
MN,364 BROADWAY,,,,,,,
MN,20 EAST 91 STREET,,,,,,,
BK,1506 OCEAN AVENUE,,,,,,,
MN,1533 3 AVENUE,,,,,,,
MN,40 MERCER STREET,,,,,,,
MN,175 2 AVENUE,,,,,,,
BX,1400 TOWNSEND AVENUE,,,,,,,
QN,43-43 91 PLACE,,,,,,,
BK,234 SKILLMAN AVENUE,,,,,,,
BX,2459 SOUTHERN BOULEVARD,,,,,,,
MN,3675 BROADWAY,,,,,,,
QN,141-02 79 AVENUE,,,,,,,
MN,146 WEST 57 STREET,,,,,,,
MN,301 EAST 94 STREET,,,,,,,
QN,222-22 JAMAICA AVENUE,,,,,,,
MN,1485 5 AVENUE,,,,,,,
BX,170 WEST BURNSIDE AVENUE,,,,,,,
MN,703 LEXINGTON AVENUE,,,,,,,
MN,895 BROADWAY,,,,,,,
MN,276 SHERMAN AVENUE,,,,,,,
BX,361 EAST 163 STREET,,,,,,,
BX,235 EAST 196 STREET,,,,,,,
MN,179 3 AVENUE,,,,,,,
MN,53 PERRY STREET,,,,,,,
MN,960 AVENUE OF THE AMER,,,,,,,
MN,620 WEST 141 STREET,,,,,,,
BX,613 EAST 138 STREET,,,,,,,
MN,19 ST NICHOLAS AVENUE,,,,,,,
MN,124 EAST 28 STREET,,,,,,,
BX,1355 MORRIS AVENUE,,,,,,,
BX,1071 ELDER AVENUE,,,,,,,
MN,30 EAST 65 STREET,,,,,,,
MN,145 VERMILYEA AVENUE,,,,,,,
BX,2438 WASHINGTON AVENUE,,,,,,,
MN,407 3 AVENUE,,,,,,,
MN,243 WEST 98 STREET,,,,,,,
BK,7101 SHORE ROAD,,,,,,,
MN,53 NORTH MOORE STREET,,,,,,,
BX,943 TELLER AVENUE,,,,,,,
MN,200 DYCKMAN STREET,,,,,,,
BX,2450 DAVIDSON AVENUE,,,,,,,
MN,393 EDGECOMBE AVENUE,,,,,,,
MN,69 5 AVENUE,,,,,,,
MN,24 BRADHURST AVENUE,,,,,,,
BX,1166 GERARD AVENUE,,,,,,,
QN,90-05 161 STREET,,,,,,,
MN,250 EAST 54 STREET,,,,,,,
MN,602 WEST 141 STREET,,,,,,,
MN,140 WEST STREET,,,,,,,
BX,199 MT EDEN PARKWAY,,,,,,,
MN,107 UNIVERSITY PLACE,,,,,,,
MN,400 EAST 90 STREET,,,,,,,
BX,1220 WESTCHESTER AVENUE,,,,,,,
MN,40 ST NICHOLAS AVENUE,,,,,,,
BX,1225 SHERMAN AVENUE,,,,,,,
MN,541 WEST 49 STREET,,,,,,,
MN,11 EAST 68 STREET,,,,,,,
MN,93 PRINCE STREET,,,,,,,
BX,1560 SILVER STREET,,,,,,,
BX,2095 CRESTON AVENUE,,,,,,,
MN,325 EAST 115 STREET,,,,,,,
MN,306 WEST 48 STREET,,,,,,,
BK,880 47 STREET,,,,,,,
BK,405 WILLIAMS AVENUE,,,,,,,
BK,68 JAY STREET,,,,,,,
BK,84 FRONT STREET,,,,,,,
BK,85 ADAMS STREET,,,,,,,
QN,83-15 24 AVENUE,,,,,,,
MN,1474 3 AVENUE,,,,,,,
MN,509 AVENUE OF THE AMER,,,,,,,
MN,1270 3 AVENUE,,,,,,,
BK,255 MC KIBBIN STREET,,,,,,,
MN,363 WEST 16 STREET,,,,,,,
BK,199 GARFIELD PLACE,,,,,,,
BK,1103 GATES AVENUE,,,,,,,
MN,30 LITTLE WEST STREET,,,,,,,
MN,4730 BROADWAY,,,,,,,
MN,82 BEAVER STREET,,,,,,,
MN,161 LEXINGTON AVENUE,,,,,,,
BK,44 PINEAPPLE STREET,,,,,,,
BX,2058 JEROME AVENUE,,,,,,,
BX,2226 LORING PLACE NORTH,,,,,,,
BX,135 WEST KINGSBRIDGE RD,,,,,,,
MN,100 WEST 18 STREET,,,,,,,
MN,321 BROADWAY,,,,,,,
BK,918 KENT AVENUE,,,,,,,
MN,701 PARK AVENUE,,,,,,,
MN,100 MAIDEN LANE,,,,,,,
MN,47 WEST 43 STREET,,,,,,,
MN,794 MADISON AVENUE,,,,,,,
QN,35-35 95 STREET,,,,,,,
BX,2426 EASTCHESTER ROAD,,,,,,,
BX,3300 PALMER AVENUE,,,,,,,
MN,2162 8 AVENUE,,,,,,,
QN,41-07 BOWNE STREET,,,,,,,
QN,145-16 34 AVENUE,,,,,,,
BX,250 EAST 176 STREET,,,,,,,
BX,1275 EDWARD L GRANT HWY,,,,,,,
BX,1120 CLAY AVENUE,,,,,,,
MN,46 EAST 91 STREET,,,,,,,
MN,74 WEST 69 STREET,,,,,,,
BX,2055 HARRISON AVENUE,,,,,,,
MN,599 BROADWAY,,,,,,,
BX,2249 MORRIS AVENUE,,,,,,,
QN,163-01 CROCHERON AVENUE,,,,,,,
BX,1630 MONTGOMERY AVENUE,,,,,,,
BX,400 EAST 149 STREET,,,,,,,
BX,2314 MORRIS AVENUE,,,,,,,
MN,120 WEST 57 STREET,,,,,,,
BX,1195 SHERMAN AVENUE,,,,,,,
BK,255 RYERSON STREET,,,,,,,
BX,2465 CROTONA AVENUE,,,,,,,
MN,38 WEST 26 STREET,,,,,,,
MN,655 PARK AVENUE,,,,,,,
QN,163-15 BAISLEY BOULEVARD,,,,,,,
MN,209 EAST 63 STREET,,,,,,,
MN,420 WEST 23 STREET,,,,,,,
MN,10 WEST 138 STREET,,,,,,,
BX,1718 GRAND AVENUE,,,,,,,
MN,250 WEST 146 STREET,,,,,,,
MN,327 WEST 52 STREET,,,,,,,
BX,850 LONGWOOD AVENUE,,,,,,,
MN,207 EAST 37 STREET,,,,,,,
BX,380 EAST 150 STREET,,,,,,,
BX,1665 BRYANT AVENUE,,,,,,,
MN,993 LEXINGTON AVENUE,,,,,,,
MN,236-240 WEST 64 STREET,,,,,,,
MN,812 5 AVENUE,,,,,,,
BX,1410 GRAND CONCOURSE,,,,,,,
QN,135-07 40 ROAD,,,,,,,
MN,825 2 AVENUE,,,,,,,
MN,1030 3 AVENUE,,,,,,,
BX,2060 GRAND CONCOURSE,,,,,,,
BK,762 EAST 3 STREET,,,,,,,
MN,351 3 AVENUE,,,,,,,
BK,141 EAST 21 STREET,,,,,,,
BX,3060 WEBSTER AVENUE,,,,,,,
MN,300 MERCER STREET,,,,,,,
MN,3139 BROADWAY,,,,,,,
QN,55-20 METROPOLITAN AVENUE,,,,,,,
BX,1425 GRAND CONCOURSE,,,,,,,
MN,250 NAGLE AVENUE,,,,,,,
BK,985 PARK PLACE,,,,,,,
BX,999 EAST TREMONT AVENUE,,,,,,,
BX,52 EAST TREMONT AVENUE,,,,,,,
BK,1561 PITKIN AVENUE,,,,,,,
MN,43 WEST 32 STREET,,,,,,,
MN,1301 YORK AVENUE,,,,,,,
MN,2 SEAMAN AVENUE,,,,,,,
MN,1810 3 AVENUE,,,,,,,
MN,95 EAST HOUSTON STREET,,,,,,,
MN,22 WEST 66 STREET,,,,,,,
BK,1608 RALPH AVENUE,,,,,,,
BK,475 ALABAMA AVENUE,,,,,,,
BK,131 WEST STREET,,,,,,,
MN,127 WEST 43 STREET,,,,,,,
BX,2000 ANTHONY AVENUE,,,,,,,
MN,125 WEST 45 STREET,,,,,,,
MN,1143 YORK AVENUE,,,,,,,
MN,3471 BROADWAY,,,,,,,
MN,721 MADISON AVENUE,,,,,,,
QN,109-14A 172 STREET,,,,,,,
BK,2064 NOSTRAND AVENUE,,,,,,,
BX,676 EAST 141 STREET,,,,,,,
MN,80 ARDEN STREET,,,,,,,
BX,121 ELLIOT PLACE,,,,,,,
QN,217-02 75 AVENUE,,,,,,,
QN,150 CROSS BAY BOULEVARD,,,,,,,
BX,2195 GRAND CONCOURSE,,,,,,,
BX,1212 GRAND CONCOURSE,,,,,,,
BK,70 BERRY STREET,,,,,,,
QN,194-05 67 AVENUE,,,,,,,
BX,441 MORRIS PARK AVENUE,,,,,,,
MN,42 WEST 58 STREET,,,,,,,
