Borough,Address,Address1,OrganizationName,Faith_Based_Organization,Foundation,New_York_City_Agency,Nonprofit
BX,5521 MOSHOLU AVENUE,5521 Mosholu Avenue,Riverdale Neighborhood House, Inc.,N,N,N,Y
BK,1550 CONEY ISLAND AVENUE,1550 Coney Island Avenue,Council of Jewish Organizations of Flatbush (COJO Flatbush),N,N,N,Y
MN,235 EAST BROADWAY,235 East Broadway,United Jewish Council of the East Side,N,N,N,Y
BK,800 POLY PLACE,800 Poly Place,VHA New York Harbor Healthcare-Brooklyn Campus,N,N,N,N
BX,811 MORRIS PARK AVENUE,811 Morris Park Avenue,Regional Aid For Interim Needs, Inc.(R.A.I.N.),N,N,N,Y
MN,902 BROADWAY,902 Broadway,Phipps Community Development Corporation,N,N,N,Y
QN,157-16 65 AVENUE,157-16 65 Avenue,Catholic Charities Builders for Family and Youth,N,N,N,Y
SI,548 BROADWAY,548 Broadway,Hospital Audiences, Inc.,N,N,N,Y
QN,108-25 62ND DRIVE,108-25 62nd Drive,Queens Community House,N,N,N,Y
MN,2 LAFAYETTE STREET,2 Lafayette Street,TimeBanksNYC,N,N,Y,Y
BK,902 BROADWAY,902 Broadway,Phipps Community Development Corporation,N,N,N,Y
BX,337 ALEXANDER AVENUE,337 Alexander Avenue,East Side House, Inc.,N,N,N,Y
BK,366 HEWES STREET,366 HEWES STREET,COMMUNITY BOARD 1 CERT TEAM,N,N,Y,Y
MN,515 AUDUBON AVENUE,515 Audubon Avenue,Isabella Geriatric Center, Inc.,N,N,N,Y
BK,1350 BROADWAY,1350 Broadway,Nonprofit Coordinating Committee of New York,N,N,N,Y
BK,966 FULTON STREET,966 Fulton Street,Fort Greene Senior Citizen Council, Inc.,N,N,N,Y
SI,76 WADSWORTH AVENUE,76 Wadsworth Avenue,Northern Manhattan Improvement Corporation,N,N,N,Y
BK,285 SCHERMERHORN STREET,285 Schermerhorn Street,Brooklyn Bureau of Community Service,N,N,N,Y
MN,76 WADSWORTH AVENUE,76 Wadsworth Avenue,Northern Manhattan Improvement Corporation,N,N,N,Y
QN,59-03 SUMMERFIELD STREET,59-03 Summerfield Street,Glenridge Senior Citizen Center,N,N,N,Y
BK,32 PENN STREET,32 Penn Street,United Jewish Organization of Williamsburg,N,N,N,Y
MN,199 WATER STREET,199 Water Street,The Legal Aid Society,N,N,N,Y
BK,1274 UTICA AVENUE,1274 Utica Avenue,TOP Development Corporation,N,N,N,Y
MN,281 EAST BROADWAY,281 East Broadway,Henry Street Settlement Neighborhood Resource Center,N,N,N,Y
MN,1 CENTRE STREET,1 Centre Street,New York City Office of the Public Advocate, Betsy Gotbaum,N,N,Y,N
BK,874 MYRTLE AVENUE,874 Myrtle Avenue,St Stephens Outreach Inc.,N,N,N,Y
BX,2054 MORRIS AVENUE,2054 Morris Avenue,Citizens Advice Bureau,N,N,N,Y
MN,1350 BROADWAY,1350 Broadway,Nonprofit Coordinating Committee of New York,N,N,N,Y
BK,7802 BAY PARKWAY,7802 Bay Parkway,Edith and Carl Marks Jewish Community House of Bensonhurst,N,N,N,Y
QN,165-01 CHAPIN PARKWAY,165-01 Chapin Parkway,Chapin Home for the Aging,N,N,N,Y
SI,160 HEBERTON AVENUE,160 Heberton Avenue,Northfield Community Local Development Corp. of Staten Islalnd, Inc.,N,N,N,Y
QN,23-35 BROADWAY,23-35 Broadway,Queens Independent Living Center,N,N,N,Y
QN,58-20 LITTLE NECK PARKWAY,58-20 Little Neck Parkway,Samuel Field YM & YWHA, Inc.,N,N,N,Y
BX,2805 UNIVERSITY AVENUE,2805 University Avenue,Kingsbridge Heights Neighborhood Improvement Association,N,N,N,Y
BX,85 WEST BURNSIDE AVENUE,85 West Burnside Avenue,Morris Heights Health Center,N,N,N,Y
SI,150 ELIZABETH STREET,150 Elizabeth Street,Chinese American Planning Council,N,N,N,Y
BX,5625 ARLINGTON AVENUE,5625 Arlington Avenue,Young Men & Young Women's Hebrew Association of the Bronx,N,N,N,Y
