Borough,Address,Total Building Floor Area,Number of Floors,Assessed Total Value,Year Built
MN,683 11 AVENUE,0,0,0,0
BX,WEST 205 STREET,0,0,0,0
QN,159 STREET,0,0,0,0
QN,129 AVENUE,0,0,0,0
MN,578 BROOME STREET,0,0,0,0
BK, KINGS HIGHWAY,0,0,0,0
QN,BEACH 102 STREET,0,0,0,0
SI, THOMPSON STREET,0,0,0,0
QN,117 STREET,0,0,0,0
BK, LOCUST AVENUE,0,0,0,0
BK,8 AVENUE,0,0,0,0
BK,8424 DITMAS AVENUE,0,0,0,0
QN, METROPOLITAN AVENUE,0,0,0,0
BX, LAFAYETTE AVENUE,0,0,0,0
QN,84 AVENUE,0,0,0,0
QN,147-12 147 AVENUE,0,0,0,0
MN,102 BROAD STREET,0,0,0,0
SI, GREENFIELD AVENUE,0,0,0,0
SI, CHELSEA ROAD,0,0,0,0
QN,78 AVENUE,0,0,0,0
SI, AMBOY ROAD,0,0,0,0
SI, EXETER STREET,0,0,0,0
SI, FOREST AVENUE,0,0,0,0
QN,53 AVENUE,0,0,0,0
QN, FARMERS BOULEVARD,0,0,0,0
BK,61 LITTLE STREET,0,0,0,0
BX,2501 HOLLERS AVENUE,0,0,0,0
SI,,0,0,0,0
BK,20 AVENUE,0,0,0,0
BX,EAST 233 STREET,0,0,0,0
MN, BROADWAY,0,0,0,0
SI, MERSEREAU AVENUE,0,0,0,0
BX,1950 STRANG AVENUE,0,0,0,0
BX, SOUTHERN BOULEVARD,0,0,0,0
QN, MERRICK BOULEVARD,0,0,0,0
QN, FRANCIS LEWIS BLVD,0,0,0,0
BX, PARK AVENUE,0,0,0,0
SI, SOUTH RAILROAD AVE,0,0,0,0
BK,1036 EAST 39 STREET,0,0,0,0
SI, NORTH RAILROAD AVE,0,0,0,0
MN,292 HUDSON STREET,0,0,0,0
MN,419 EAST 36 STREET,0,0,0,0
MN,WEST 39 STREET,0,0,0,0
QN, EDGEWOOD AVENUE,0,0,0,0
BX, MAJ WM DEEGAN BLVD,0,0,0,0
BK, GLENWOOD ROAD,0,0,0,0
BK, WELLINGTON COURT,0,0,0,0
SI, BLOOMFIELD ROAD,0,0,0,0
QN,87-27 130 STREET,0,0,0,0
SI, CANAL STREET,0,0,0,0
BK, AVENUE V,0,0,0,0
QN, LITTLE NECK BLVD,0,0,0,0
QN,86-83 DUNTON STREET,0,0,0,0
BK, SNEDIKER AVENUE,0,0,0,0
QN,45 AVENUE,0,0,0,0
SI, NEW LANE,0,0,0,0
BX,EAST 177 STREET,0,0,0,0
BK, RIVERDALE AVENUE,0,0,0,0
QN,48 STREET,0,0,0,0
QN, CALDWELL AVENUE,0,0,0,0
BX,EAST 174 STREET,0,0,0,0
BK,EAST 17 STREET,0,0,0,0
SI, AMBOY ROAD,0,0,0,0
BX,1700 MULFORD AVENUE,0,0,0,0
BX, ROCHAMBEAU AVENUE,0,0,0,0
QN,65 PLACE,0,0,0,0
SI, NORTH RAILROAD AVE,0,0,0,0
QN,94-05 QUEENS BOULEVARD,0,0,0,0
BK, ALBEMARLE ROAD,0,0,0,0
QN, GRAND CENTRL PARKWAY,0,0,0,0
BK,3 PLACE,0,0,0,0
BK, NEWPORT STREET,0,0,0,0
BX,2417 TRATMAN AVENUE,0,0,0,0
QN, JACKSON AVENUE,0,0,0,0
QN,76 AVENUE,0,0,0,0
BX, RIVER AVENUE,0,0,0,0
BX,4530 WHITE PLAINS ROAD,0,0,0,0
QN,99 AVENUE,0,0,0,0
MN,7 THOMAS STREET,0,0,0,0
BK, RALPH AVENUE,0,0,0,0
QN, LEFFERTS BOULEVARD,0,0,0,0
QN,71 STREET,0,0,0,0
QN, QUEENS BOULEVARD,0,0,0,0
BK,442 RODNEY STREET,0,0,0,0
SI, MORNINGSTAR ROAD,0,0,0,0
BX,EAST 136 STREET,0,0,0,0
BX,EAST 204 STREET,0,0,0,0
QN,135 DRIVE,0,0,0,0
QN,108-03 BEACH CHANNEL DRIVE,0,0,0,0
SI, SPRAGUE AVENUE,0,0,0,0
BK,NORTH 6 STREET,0,0,0,0
QN,BEACH 76 STREET,0,0,0,0
SI, LAMOKA AVENUE,0,0,0,0
QN,118 STREET,0,0,0,0
BK,54 STREET,0,0,0,0
QN,35 AVENUE,0,0,0,0
QN, ELIOT AVENUE,0,0,0,0
