Borough,Address,Building Class
QN,40-34 JUNCTION BOULEVARD,O8
MN,148 WEST 37 STREET,O6
MN,37 EAST 28 STREET,O6
MN,35 EAST 28 STREET,O5
MN,35 WEST 37 STREET,O6
QN,157-11 ROCKAWAY BOULEVARD,O5
MN,133 CHRYSTIE STREET,O5
MN,37 WEST 26 STREET,O6
MN,10 EAST 33 STREET,O6
MN,30 IRVING PLACE,O6
BK,1942 CONEY ISLAND AVENUE,O5
BK,1946 CONEY ISLAND AVENUE,O5
MN,34 HOWARD STREET,O5
MN,79 MERCER STREET,O5
MN,64 WOOSTER STREET,O6
MN,75 SPRING STREET,O6
SI,3912 AMBOY ROAD,O8
BK,2054 RALPH AVENUE,O5
MN,650 BROADWAY,O5
BK,185 MONTAGUE STREET,O6
BK,135 PIERREPONT STREET,O6
QN,95-10 101 AVENUE,O8
MN,202 CENTRE STREET,O5
MN,1352 BROADWAY,O5
QN,117-07 101 AVENUE,O5
MN,84 WOOSTER STREET,O6
BK,213 BOND STREET,O5
BK,175 CLASSON AVENUE,O5
QN,125-06 LIBERTY AVENUE,O5
MN,44 WEST 55 STREET,O5
MN,23 EAST 67 STREET,O6
MN,1151 BROADWAY,O5
MN,29 EAST 19 STREET,O6
MN,84 5 AVENUE,O6
QN,62-38 FOREST AVENUE,O5
QN,31-25 UNION STREET,O8
BK,439 KINGS HIGHWAY,O5
QN,214-47 JAMAICA AVENUE,O8
BK,1202 AVENUE J,O5
QN,98-10 ASTORIA BOULEVARD,O8
MN,155 WOOSTER STREET,O6
MN,78 BOWERY,O6
MN,581 AVENUE OF THE AMER,O5
MN,250 WEST 39 STREET,O6
MN,40 EAST 23 STREET,O5
QN,40-33 76 STREET,O8
SI,359 CLEVELAND AVENUE,O5
MN,722 LEXINGTON AVENUE,O6
MN,10 HARRISON STREET,O5
MN,285 WEST BROADWAY,O5
MN,434 AVENUE OF THE AMER,O5
MN,404 WEST 15 STREET,O6
MN,212 WEST 35 STREET,O6
MN,7 WEST 51 STREET,O6
MN,12 EAST 44 STREET,O6
MN,4 EAST 43 STREET,O6
BK,184 JORALEMON STREET,O8
MN,901 BROADWAY,O5
MN,64 UNIVERSITY PLACE,O5
QN,38-11 150 STREET,O8
SI,26 WATCHOGUE ROAD,O8
SI,461 JEWETT AVENUE,O8
BX,3677 EAST TREMONT AVENUE,O5
QN,136-21 ROOSEVELT AVENUE,O6
SI,318 NELSON AVENUE,O8
MN,37 WEST 20 STREET,O6
SI,4061 VICTORY BOULEVARD,O8
MN,154 LUDLOW STREET,O5
SI,1208 BAY STREET,O8
SI,337 SAND LANE,O5
BX,1628 BATHGATE AVENUE,O5
BK,464 77 STREET,O8
MN,155 EAST 56 STREET,O5
QN,45-46 21 STREET,O5
MN,243 WEST 30 STREET,O6
QN,135-18 LIBERTY AVENUE,O8
SI,38 KINSEY PLACE,O5
BK,949 FLATBUSH AVENUE,O5
QN,18-55 42 STREET,O5
QN,37-49 75 STREET,O8
MN,5045 BROADWAY,O5
QN,217-10 JAMAICA AVENUE,O5
MN,4280 BROADWAY,O5
BK,37 GREENPOINT AVENUE,O5
BK,1165 ST MARKS AVENUE,O5
SI,265 MASON AVENUE,O8
BX,1136 RHINELANDER AVENUE,O8
MN,177 FRANKLIN STREET,O5
BK,1517 VOORHIES AVENUE,O5
MN,148 WEST 125 STREET,O5
QN,216-15 NORTHERN BOULEVARD,O5
QN,86-59 77 STREET,O8
QN,111-02 JAMAICA AVENUE,O5
BK,2281 SCHENECTADY AVENUE,O8
MN,192 LEXINGTON AVENUE,O6
SI,773 POST AVENUE,O8
MN,38 ELIZABETH STREET,O5
MN,183 CANAL STREET,O5
BK,176 BRIGHTON 11 STREET,O8
BK,88 WEST END AVENUE,O8
BK,2916 SHELL ROAD,O5
BK,3051 OCEAN PARKWAY,O5
MN,27 WHITEHALL STREET,O6
BK,19 WILLOUGHBY STREET,O5
BK,2746 OCEAN AVENUE,O8
MN,9 MOTT STREET,O6
QN,79-04 METROPOLITAN AVENUE,O8
QN,87-19 118 STREET,O8
MN,41 MOTT STREET,O5
MN,52 EAST BROADWAY,O5
BK,350 CLASSON AVENUE,O5
BX,4856 WHITE PLAINS ROAD,O5
BK,608 SCHENECTADY AVENUE,O8
MN,119 WEST 23 STREET,O6
MN,881 BROADWAY,O6
QN,222-01 JAMAICA AVENUE,O8
BK,1614 NEPTUNE AVENUE,O5
BK,1612 NEPTUNE AVENUE,O5
MN,340 WEST 23 STREET,O8
BK,2747 CONEY ISLAND AVENUE,O5
QN,140-25 QUEENS BOULEVARD,O5
QN,11-49 47 AVENUE,O5
BK,1655 BEDFORD AVENUE,O5
SI,970 BARD AVENUE,O8
MN,436 WEST 18 STREET,O5
MN,104 WEST 29 STREET,O6
MN,119 WEST 31 STREET,O6
MN,108 WEST 34 STREET,O6
QN,18-35 130 STREET,O5
MN,25 WEST 52 STREET,O6
QN,37-18 73 STREET,O5
QN,37-02 NORTHERN BOULEVARD,O5
MN,115 WEST 27 STREET,O6
BX,594 GRAND CONCOURSE,O5
BX,647 BRYANT AVENUE,O8
BK,1426 39TH STREET,O5
MN,655 5 AVENUE,O6
MN,325 GRAND STREET,O5
BK,2583 OCEAN AVENUE,O8
QN,63-52 WOODHAVEN BOULEVARD,O5
SI,1741 VICTORY BOULEVARD,O5
MN,28 WARREN STREET,O5
MN,8 BOWERY,O5
BK,1550 FLATBUSH AVENUE,O5
MN,69 MERCER STREET,O5
QN,42-71 65 PLACE,O5
QN,36-26 31 STREET,O5
MN,125 WEST 29 STREET,O5
QN,22-15 43 AVENUE,O5
BK,129 LIVINGSTON STREET,O5
QN,80-35 JAMAICA AVENUE,O8
SI,2242 VICTORY BOULEVARD,O5
MN,38 WEST 34 STREET,O5
MN,224 WEST 35 STREET,O6
BK,2926 AVENUE L,O8
QN,163-18 JAMAICA AVENUE,O6
BK,5515 8 AVENUE,O5
MN,9 CHATHAM SQUARE,O8
MN,200 HUDSON STREET,O6
MN,2 EAST BROADWAY,O6
MN,15 DIVISION STREET,O6
QN,268-08 UNION TURNPIKE,O8
QN,66-05 60 PLACE,O8
MN,409 BROOME STREET,O6
MN,21 GREAT JONES STREET,O6
QN,159-16 UNION TURNPIKE,O5
MN,150 WEST 28 STREET,O6
MN,145 WEST 28 STREET,O6
MN,32 WEST 28 STREET,O5
MN,308 5 AVENUE,O5
MN,72 MADISON AVENUE,O6
MN,235 PARK AVENUE SOUTH,O6
MN,251 PARK AVENUE SOUTH,O6
MN,115 WEST 45 STREET,O6
MN,140 WEST 57 STREET,O6
MN,130 WEST 57 STREET,O6
MN,433 5 AVENUE,O5
MN,423 WEST 55 STREET,O6
MN,178 CANAL STREET,O5
MN,22 WEST 48 STREET,O6
MN,3 WEST 57 STREET,O6
SI,1991 VICTORY BOULEVARD,O8
MN,20 EAST 60 STREET,O6
MN,10 EAST 60 STREET,O6
MN,697 MADISON AVENUE,O6
MN,782 MADISON AVENUE,O6
MN,58 EAST 79 STREET,O5
MN,1334 YORK AVENUE,O6
BX,3450 EAST TREMONT AVENUE,O5
SI,2460 VICTORY BOULEVARD,O8
BX,6048 RIVERDALE AVENUE,O5
BX,4041 HENRY HUDSON PKWY W,O8
MN,31 BOND STREET,O5
BK,378 COURT STREET,O8
BK,4715 8 AVENUE,O5
BK,5101 4 AVENUE,O5
MN,17 WEST 17 STREET,O6
SI,1920 RICHMOND ROAD,O8
BK,8910 3 AVENUE,O8
SI,2000 HYLAN BOULEVARD,O5
BK,9710 3 AVENUE,O8
MN,79 MADISON AVENUE,O6
BK,158 MONTAGUE STREET,O5
BK,308 MALCOLM X BOULEVARD,O8
QN,37-36 61 STREET,O5
QN,120-27 GUY R BREWER BLVD,O8
QN,95-25 QUEENS BOULEVARD,O6
MN,31 WEST 54 STREET,O5
MN,15 WEST 54 STREET,O5
MN,581 5 AVENUE,O5
MN,5 EAST 47 STREET,O6
MN,117 DUANE STREET,O6
QN,126-24 FARMERS BOULEVARD,O5
MN,1 NORTH END AVENUE,O6
BK,25 ELM PLACE,O5
MN,43 WEST 46 STREET,O6
BX,332 EAST 149 STREET,O6
BK,711 FRANKLIN AVENUE,O5
SI,1794 RICHMOND ROAD,O8
BK,3059 BRIGHTON 13 STREET,O8
MN,2261 1 AVENUE,O5
SI,1216 BAY STREET,O8
MN,100 WEST 33 STREET,O6
BK,7703 5 AVENUE,O8
MN,2880 BROADWAY,O6
MN,32 WEST 48 STREET,O5
QN,68-22 ELIOT AVENUE,O5
QN,114-01 201 STREET,O8
BX,2735 HENRY HUDSON PKWY W,O8
QN,33-02 SKILLMAN AVENUE,O5
QN,67-10 MYRTLE AVENUE,O5
QN,75-19 MYRTLE AVENUE,O8
MN,43 BLEECKER STREET,O5
BK,3019 BRIGHTON 1 STREET,O8
BK,2995 OCEAN PARKWAY,O8
MN,10 EAST 47 STREET,O5
BK,50 COURT STREET,O6
QN,63-17 METROPOLITAN AVENUE,O5
MN,6 EAST 32 STREET,O6
MN,156 WEST 29 STREET,O5
MN,533 WEST 24 STREET,O5
QN,190-17 LINDEN BOULEVARD,O8
QN,162-24 JAMAICA AVENUE,O5
BX,26 BRUCKNER BOULEVARD,O5
MN,309 EAST 94 STREET,O5
MN,224 5 AVENUE,O5
MN,226 5 AVENUE,O5
QN,133-51 37 AVENUE,O5
QN,99-06 METROPOLITAN AVENUE,O5
BK,419 MANHATTAN AVENUE,O8
MN,300 LENOX AVENUE,O5
BK,4809 13 AVENUE,O5
MN,240 WEST 37 STREET,O6
BK,2237 NEW YORK AVENUE,O8
BK,7508 13 AVENUE,O8
MN,708 BROADWAY,O6
MN,21 WEST 38 STREET,O6
QN,97-13 101 AVENUE,O8
BK,90 NORMAN AVENUE,O5
MN,181 EAST 108 STREET,O5
QN,18-16 127 STREET,O5
QN,127 STREET,O5
BK,350 NEPTUNE AVENUE,O5
MN,233 SPRING STREET,O6
MN,227 WEST 29 STREET,O6
MN,413 WEST BROADWAY,O5
MN,23 WEST 18 STREET,O6
MN,456 BROADWAY,O5
MN,122 WEST 27 STREET,O6
BK,78 HUDSON AVENUE,O6
BK,186 BROADWAY,O5
BK,1068 48 STREET,O8
BK,1124 AVENUE J,O5
QN,118-01 QUEENS BOULEVARD,O5
BX,964 EAST 227 STREET,O5
QN,215-27 JAMAICA AVENUE,O8
MN,65 EAST BROADWAY,O5
QN,22-45 31 STREET,O5
QN,61-04 LAUREL HILL BLVD,O5
BK,261 52 STREET,O5
QN,19-31 MOTT AVENUE,O5
QN,45-11 LITTLE NECK PARKWAY,O8
MN,88 RIVINGTON STREET,O8
BK,193 MOTHER GASTON BLVD,O8
BK,2090 BRAGG STREET,O8
BK,2647 CONEY ISLAND AVENUE,O5
BK,5722 7 AVENUE,O8
BK,2303 AVENUE Z,O8
MN,355 WEST BROADWAY,O5
BK,443 LINDEN BOULEVARD,O8
BK,1817 FLATBUSH AVENUE,O5
BK,2925 AVENUE N,O8
QN,39-03 61 STREET,O5
QN,150-18 HILLSIDE AVENUE,O8
MN,465 GRAND STREET,O5
MN,7 DIVISION STREET,O5
QN,18-18 43 STREET,O5
MN,366 MADISON AVENUE,O6
MN,237 WEST 35 STREET,O6
MN,225 WEST 35 STREET,O6
QN,65-12 FRESH POND ROAD,O8
BX,2401 WATSON AVENUE,O5
BX,1416 WILLIAMSBRIDGE ROAD,O5
BX,1554 ASTOR AVENUE,O8
QN,142-03 60 AVENUE,O5
MN,147 SPRING STREET,O5
MN,28 WEST 22 STREET,O5
MN,39 WEST 38 STREET,O6
BK,1101 FLATBUSH AVENUE,O5
BK,812 60 STREET,O6
BK,1312 38 STREET,O5
BK,482 CONEY ISLAND AVENUE,O5
BK,722 CONEY ISLAND AVENUE,O5
BK,6222 18 AVENUE,O8
MN,5 UNION SQUARE,O6
BK,4102 14 AVENUE,O5
MN,205 WEST 39 STREET,O6
BK,4822 NEW UTRECHT AVENUE,O5
MN,145 CLINTON STREET,O6
MN,600 WEST 58 STREET,O6
BK,714 61 STREET,O8
MN,36 EAST 2 STREET,O5
MN,610 BROADWAY,O5
MN,126 5 AVENUE,O6
MN,1054 AVENUE OF THE AMER,O6
MN,267 5 AVENUE,O6
MN,337 PARK AVENUE SOUTH,O5
MN,529 5 AVENUE,O6
MN,405 PARK AVENUE,O6
MN,661 LEXINGTON AVENUE,O6
MN,694 8 AVENUE,O5
QN,79-21 METROPOLITAN AVENUE,O5
QN,34-35 56 STREET,O5
SI,413 MANOR ROAD,O8
BK,112 NORTH 6 STREET,O5
QN,17-34 HANCOCK STREET,O8
BK,5304 NEW UTRECHT AVENUE,O5
QN,16-12 CENTRAL AVENUE,O5
BK,3609 QUENTIN ROAD,O8
BK,503 4 AVENUE,O8
SI,501 CARY AVENUE,O5
SI,545 CARY AVENUE,O5
BK,325 GOLD STREET,O6
BK,115 MYRTLE AVENUE,O6
