Borough,Address,Issue Date
MN,90 WASHINGTON STREET,2020-04-08
MN,151 WEST 108 STREET,2020-04-08
MN,218 WEST 124 STREET,2020-04-06
BX,2317 CAMBRELENG AVENUE,2020-04-08
BX,935 EAST 179 STREET,2020-04-07
BX,95 WEST 195 STREET,2020-04-01
BX,212 PUGSLEY AVENUE,2020-04-03
BX,210 PUGSLEY AVENUE,2020-04-03
BX,550 BOLTON AVENUE,2020-04-03
BX,2317 LODOVICK AVENUE,2020-04-03
BK,85 WYCKOFF STREET,2020-04-03
BK,1349 ST MARKS AVENUE,2020-04-02
BK,1347 ST MARKS AVENUE,2020-04-01
BK,1235 HERKIMER STREET,2020-04-08
BK,45 AINSLIE STREET,2020-04-06
BK,317 BUSHWICK AVENUE,2020-04-03
BK,1241 HANCOCK STREET,2020-04-01
BK,1770 59 STREET,2020-04-02
BK,1750 EAST 27 STREET,2020-04-08
BK,1969 EAST 14 STREET,2020-04-07
BK,3014 GLENWOOD ROAD,2020-04-03
BK,3080 VOORHIES AVENUE,3321-82-62
QN,37-51 79 STREET,2020-04-04
QN,135-02 JAMAICA AVENUE,2020-04-02
QN,115-81 LEFFERTS BOULEVARD,2020-04-05
QN,115-79 LEFFERTS BOULEVARD,2020-04-05
SI,212 LIVERMORE AVENUE,2020-04-03
