Borough,Address,Elevator Device Type,Job Number,Filing Type,Filing Status,Filing Date
MN,1 GOVERNORS ISLAND,Elevator,M00354817,New Filing,Objections,06/12/2020
MN,1 GOVERNORS ISLAND,Elevator,M00354817,New Filing,Objections,06/12/2020
MN,161 EAST 28 STREET,Personnel Hoist,M00127291,PAA,Approved,06/03/2020
MN,10 SOUTH STREET,Elevator,M00352900,New Filing,Permit Entire,06/15/2020
MN,10 SOUTH STREET,Elevator,M00352900,New Filing,Permit Entire,06/15/2020
MN,328 WEST 53 STREET,Elevator,M00354981,New Filing,Signed Off,06/09/2020
MN,32 PEARL STREET,Elevator,M00348462,New Filing,Permit Entire,06/12/2020
MN,24 STATE STREET,Elevator,M00356988,New Filing,Permit Entire,06/17/2020
MN,8 STONE STREET,Elevator,M00349935,New Filing,Objections,06/11/2020
MN,25 BROADWAY,Elevator,M00351222,New Filing,Permit Entire,06/04/2020
MN,25 BROADWAY,Elevator,M00351243,New Filing,Permit Entire,06/04/2020
MN,520 WEST 43 STREET,Accessibility Lift,M00353458,New Filing,Permit Entire,06/05/2020
MN,200 VESEY STREET,Elevator,M00354484,New Filing,Permit Entire,06/16/2020
MN,13 RECTOR STREET,Elevator,M00327009,New Filing,Permit Entire,06/18/2020
MN,13 RECTOR STREET,Elevator,M00354212,New Filing,Permit Entire,06/18/2020
MN,115 CENTRAL PARK WEST,Elevator,M00355371,New Filing,Permit Entire,06/12/2020
MN,115 CENTRAL PARK WEST,Elevator,M00355371,New Filing,Permit Entire,06/12/2020
MN,205 EAST 24 STREET,Elevator,M00252871,New Filing,Pending Plan Examiner Assignment,06/19/2020
MN,11 WALL STREET,Accessibility Lift,M00349707,New Filing,Permit Entire,06/15/2020
MN,20 BROAD STREET,Accessibility Lift,M00352162,New Filing,Permit Entire,06/10/2020
MN,161 WEST 61 STREET,Elevator,M00348551,New Filing,Permit Entire,06/16/2020
MN,161 WEST 61 STREET,Elevator,M00348551,New Filing,Permit Entire,06/16/2020
MN,120 BROADWAY,Elevator,M00285532,New Filing,Permit Entire,06/03/2020
MN,161 MAIDEN LANE,Personnel Hoist,M00236348,PAA,Approved,06/01/2020
MN,130 WILLIAM STREET,Elevator,M00022622,PAA,Objections,06/05/2020
MN,55 CHURCH STREET,Elevator,M00357041,New Filing,Pending Plan Examiner Assignment,06/19/2020
MN,5 RIVERSIDE DRIVE,Elevator,M00349210,New Filing,Permit Entire,06/02/2020
MN,5 RIVERSIDE DRIVE,Elevator,M00349210,New Filing,Permit Entire,06/02/2020
MN,1 PARK ROW,Elevator,M00351062,New Filing,Permit Entire,06/02/2020
MN,1 PARK ROW,Elevator,M00351062,New Filing,Permit Entire,06/02/2020
MN,441 COLUMBUS AVENUE,Elevator,M00100805,PAA,Approved,06/11/2020
MN,441 COLUMBUS AVENUE,Elevator,M00100805,PAA,Approved,06/11/2020
MN,150 NASSAU STREET,Elevator,M00349273,New Filing,Permit Entire,06/08/2020
MN,20 MADISON STREET,Elevator,M00356605,New Filing,Permit Entire,06/15/2020
