Borough,Address,Year Built,Building Class
BX,11 BRUCKNER BOULEVARD,1931,F5
BK,243 CONOVER STREET,1931,F5
SI,304 MANOR ROAD,1998,O1
QN,10-16 162 STREET,1954,O1
BK,829 EAST 15 STREET,1931,F5
BK,113 BERRY STREET,1950,O1
BK,142 CONOVER STREET,1961,F5
BK,139A 12 STREET,1940,F5
BK,50 TAAFFE PLACE,1930,F5
BK,206 19 STREET,1925,F5
BK,303 WYTHE AVENUE,1970,F5
BK,6905 NEW UTRECHT AVENUE,1931,F5
QN,57-45 COOPER AVENUE,1931,F5
QN,1740 DECATUR STREET,1931,F5
BK,215 NORMAN AVENUE,1931,F5
SI,435 SHARROTTS ROAD,1987,F5
BK,942 METROPOLITAN AVENUE,1950,F5
BK,98 SNEDIKER AVENUE,1917,F5
BK,1831 UTICA AVENUE,1931,F5
QN,157 ONDERDONK AVENUE,1957,F5
QN,47 ONDERDONK AVENUE,1931,F5
BK,455 BALTIC STREET,1931,F5
BK,1172 60 STREET,1931,F5
BK,1325 HALSEY STREET,1925,F5
BK,142 SNEDIKER AVENUE,1980,F5
BK,615 SACKETT STREET,1931,F5
QN,36-19 STARR AVENUE,1931,F5
QN,71-01 CENTRAL AVENUE,1920,O1
BK,755 5 AVENUE,1985,F5
QN,111-07 ROOSEVELT AVENUE,1930,F5
BK,129 26 STREET,1927,F5
BK,100 BOGART STREET,2016,F5
BK,261 DOUGLASS STREET,1931,F5
BX,3300 BAINBRIDGE AVENUE,1929,O1
QN,15-37 128 STREET,1978,F5
SI,1132 FOREST AVENUE,1950,O1
BK,1779 PACIFIC STREET,2008,F5
BK,623 SACKETT STREET,1931,F5
BK,84 FERRIS STREET,1968,F5
BK,97 SUYDAM STREET,1950,F5
BK,625 39 STREET,1928,F5
BK,46 COFFEY STREET,1931,F5
QN,52-15 35 STREET,1931,F5
BX,1829 BOONE AVENUE,1931,F5
BK,362 MCGUINNESS BOULEVARD,1970,F5
QN,131-35 SANFORD AVENUE,1931,F5
QN,131-58 MAPLE AVENUE,1990,F5
BK,156 SANDFORD STREET,1959,F5
BK,217 BUTLER STREET,1931,F5
BX,959 EAST 233 STREET,1968,O1
BK,215 47 STREET,1950,F5
QN,144-04 45 AVENUE,1931,O1
BK,814 BERGEN STREET,1950,F5
BK,989 PACIFIC STREET,1930,F5
BX,382 EAST 161 STREET,1931,O1
BK,5902 13 AVENUE,1990,O1
BK,135 LIBERTY AVENUE,1923,F5
BK,667 LEXINGTON AVENUE,1932,F5
BK,275 LEXINGTON AVENUE,1931,F5
BK,4415 GLENWOOD ROAD,1970,F5
BK,155 3 STREET,2001,O1
BK,2478 MCDONALD AVENUE,1931,F5
BK,760 EAST 96 STREET,1948,F5
BK,337 ATLANTIC AVENUE,1910,F5
QN,11-11 BROADWAY,1963,F5
BK,331 NASSAU AVENUE,1965,F5
BK,20 COFFEY STREET,2015,F5
BK,124 WALWORTH STREET,1931,F5
QN,10-40 46 AVENUE,1931,F5
BK,123 LIBERTY AVENUE,2008,F5
BX,540 TIFFANY STREET,1930,F5
QN,60-15 LITTLE NECK PARKWAY,1952,F5
BK,69 GUERNSEY STREET,1909,F5
QN,,1952,O1
QN,97-11 98 STREET,1951,F5
SI,306 MANOR ROAD,1996,O1
BK,1856 UTICA AVENUE,1952,F5
SI,210 PULASKI AVENUE,1931,F5
BK,1845 FLATBUSH AVENUE,1970,O1
BK,1565 62 STREET,2012,F5
QN,36-19 35 STREET,1931,F5
QN,36-27 36 STREET,1925,F5
QN,36-11 35 STREET,1930,F5
BK,222 26 STREET,1955,F5
QN,34-52 11 STREET,1932,F5
QN,121-12 23 AVENUE,1931,O1
QN,25-12 41 AVENUE,1931,F5
BK,35 15 STREET,1931,F5
BK,208 BROADWAY,1910,F5
BX,720 EAST 239 STREET,1931,F5
BX,770 EAST 233 STREET,1930,O1
BK,8716 DITMAS AVENUE,1931,O1
QN,77-06 79 AVENUE,1972,F5
BK,169 BOGART STREET,1920,F5
BK,201 42 STREET,1910,F5
QN,148-30 94 AVENUE,1931,F5
QN,81-01 ELIOT AVENUE,1936,O1
SI,3041 VETERANS ROAD WEST,2012,O1
QN,37-08 31 AVENUE,1920,O1
BX,497 EAST 168 STREET,1931,F5
BK,276 BELMONT AVENUE,1935,F5
BK,553 UNION STREET,1931,F5
QN,80-12 JAMAICA AVENUE,1997,O1
BK,95 GERRY STREET,1931,F5
BX,1869 BATHGATE AVENUE,2001,F5
