Borough,Address,Description
MN,451 9 AVENUE,Air Quality - #2 Fuel Oil or Natural Gas for heating, ventilating and air conditioning systems;Air Quality - HVAC fuel limited to natural gas;Exhaust stack location limitations;Underground Gasoline Storage Tanks* Testing Protocol.;Window Wall Attenuation 
MN,440 WEST 36 STREET,Air Quality - #2 Fuel Oil or Natural Gas for heating, ventilating and air conditioning systems;Air Quality - HVAC fuel limited to natural gas;Exhaust stack location limitations;Window Wall Attenuation & Alternate Ventilation
MN,442 WEST 36 STREET,Air Quality - #2 Fuel Oil or Natural Gas for heating, ventilating and air conditioning systems;Air Quality - HVAC fuel limited to natural gas;Exhaust stack location limitations;Underground Gasoline Storage Tanks* Testing Protocol.;Window Wall Attenuation 
MN,444 WEST 36 STREET,Air Quality - #2 Fuel Oil or Natural Gas for heating, ventilating and air conditioning systems;Air Quality - HVAC fuel limited to natural gas;Exhaust stack location limitations;Underground Gasoline Storage Tanks* Testing Protocol.;Window Wall Attenuation 
MN,446 WEST 36 STREET,Air Quality - #2 Fuel Oil or Natural Gas for heating, ventilating and air conditioning systems;Air Quality - HVAC fuel limited to natural gas;Exhaust stack location limitations;Underground Gasoline Storage Tanks* Testing Protocol.;Window Wall Attenuation 
MN,448 WEST 36 STREET,Air Quality - #2 Fuel Oil or Natural Gas for heating, ventilating and air conditioning systems;Air Quality - HVAC fuel limited to natural gas;Exhaust stack location limitations;Underground Gasoline Storage Tanks* Testing Protocol.;Window Wall Attenuation 
MN,450 WEST 36 STREET,Air Quality - #2 Fuel Oil or Natural Gas for heating, ventilating and air conditioning systems;Air Quality - HVAC fuel limited to natural gas;Exhaust stack location limitations;Underground Gasoline Storage Tanks* Testing Protocol.;Window Wall Attenuation 
MN,345 WEST 35 STREET,Air Quality - #2 Fuel Oil or Natural Gas for heating, ventilating and air conditioning systems;Air Quality - HVAC fuel limited to natural gas;Exhaust stack location limitations;Underground Gasoline Storage Tanks* Testing Protocol.;Window Wall Attenuation 
MN,WEST 37 STREET,Air Quality - #2 Fuel Oil or Natural Gas for heating, ventilating and air conditioning systems;Air Quality - HVAC fuel limited to natural gas;Exhaust stack location limitations;Underground Gasoline Storage Tanks* Testing Protocol.;Window Wall Attenuation 
MN,349 WEST 37 STREET,Air Quality - #2 Fuel Oil or Natural Gas for heating, ventilating and air conditioning systems;Air Quality - HVAC fuel limited to natural gas;Exhaust stack location limitations;Underground Gasoline Storage Tanks* Testing Protocol.;Window Wall Attenuation 
