Borough,Address,Total Building Floor Area,Zoning District,Assessed Total Value,Owner Name,Permit Issuance date,Permitte Name,Permittee Business Name,Permittee License Type
MN,1 NORTH END AVENUE,502000,BPC,59505300,BOP ONE NORTH END LLC,01/28/2014,KEVIN BARRETT,HUNTER ROBERTS CONST. GRP,GC
MN,1 NORTH END AVENUE,502000,BPC,59505300,BOP ONE NORTH END LLC,01/28/2014,KEVIN BARRETT,HUNTER ROBERTS CONST. GRP,GC
MN,225 LIBERTY STREET,2267925,BPC,306093000,WFP TOWER B CO LP,11/03/2000,CHRISTOPHER NORRRIS,CAULDWELL WINGATE,GC
MN,200 VESEY STREET,2233692,BPC,168615000,AMERICAN EXPRESS CO,08/08/2001,WENDY LEVENTER,42ND STREET DEVELOPMENT PROJECT,OW
MN,18 1 PLACE,114100,BPC,34085200,MUSEUM OF JEWISH HERITAGE,05/28/2003,LARRY BEST,F.J. SCIAME CONSTRUCTION CO.,GC
MN,2 SOUTH END AVENUE,157584,BPC,24404400,COVE CLUB CONDO,03/20/2017,JOANNA FAN,PRESCHOOL OF AMERICA(USA),GC
MN,18 1 PLACE,114100,BPC,34085200,MUSEUM OF JEWISH HERITAGE,05/28/2003,LARRY BEST,F.J. SCIAME CONSTRUCTION CO.,GC
MN,2 SOUTH END AVENUE,157584,BPC,24404400,COVE CLUB CONDO,03/20/2017,JOANNA FAN,PRESCHOOL OF AMERICA(USA),GC
MN,300 RECTOR PLACE,106271,BPC,17838900,BATTERY POINTE CONDOMINIUMS-C/O BHS,08/07/1995,NEIL ROYCE,ROYCE RENOVATION
MN,225 LIBERTY STREET,2267925,BPC,306093000,WFP TOWER B CO LP,01/20/2001,CHRISTOPHER NORRRIS,CAULDWELL WINGATE,GC
MN,225 LIBERTY STREET,2267925,BPC,306093000,WFP TOWER B CO LP,01/20/2001,CHRISTOPHER NORRRIS,CAULDWELL WINGATE,GC
MN,2 SOUTH END AVENUE,157584,BPC,24404400,COVE CLUB CONDO,09/17/2012,XIAOPING FAN,RED APPLE CHILD DEVELOPEM,GC
MN,225 LIBERTY STREET,2267925,BPC,306093000,WFP TOWER B CO LP,12/02/2015,THOMAS GALLAGHER,STRUCTURE TONE INC,GC
MN,200 VESEY STREET,2233692,BPC,168615000,AMERICAN EXPRESS CO,07/19/2016,MILDRED CLAIRE,TISHMAN CONSTRUCTION AN AECOM,NW
MN,200 VESEY STREET,2233692,BPC,168615000,AMERICAN EXPRESS CO,07/19/2016,MILDRED CLAIRE,TISHMAN CONSTRUCTION AN AECOM,NW
MN,225 LIBERTY STREET,2267925,BPC,306093000,WFP TOWER B CO LP,10/30/2003,COIN COLLINS,MASSMUTUAL,OW
MN,380 RECTOR PLACE,203837,BPC,36971600,LIBERTY TERRACE CONDOMINIUM,03/04/1993,STEVEN GOODSTEIN,MARINER'S COVE SITE K ASSOCS
MN,320 ALBANY STREET,123284,BPC,18347900,HUDSON TOWER,03/26/1997,TOM FROESE,BOHN/FIORE INC.
MN,250 VESEY STREET,2084079,BPC,193659000,WFP TOWER D CO LP,01/13/2016,THOMAS GALLAGHER,STRUCTURE TONE INC,GC
MN,401 SOUTH END AVENUE,4000,BPC,155332000,NYC DEPARTMENT OF TRANSPORTATION,05/01/2014,JAMES ROBINSON,PLAZA CONSTRUCTION CORP,GC
MN,401 SOUTH END AVENUE,4000,BPC,155332000,NYC DEPARTMENT OF TRANSPORTATION,03/21/2012,CHRISTOPHER STRNAD,PARKVIEW P&H INC,MP
MN,401 SOUTH END AVENUE,4000,BPC,155332000,NYC DEPARTMENT OF TRANSPORTATION,03/21/2012,CHRISTOPHER STRNAD,PARKVIEW P&H INC,MP
MN,380 RECTOR PLACE,203837,BPC,36971600,LIBERTY TERRACE CONDOMINIUM,10/31/1996,MILTON ROBINSON,ROBINSON CONSTRUCTION
MN,18 1 PLACE,114100,BPC,34085200,MUSEUM OF JEWISH HERITAGE,10/18/2002,SALVATORE GAMBA,OLYMPIC PLG AND HTG CORP,MP
MN,21 SOUTH END AVENUE,194762,BPC,30076700,REGATTA CONDOMINIUM,01/05/1996,JOHN WHITE,STRUCTURE TONE INC
MN,377 RECTOR PLACE,178580,BPC,28438200,LIBERTY HOUSE CONDOMINIUM,07/27/1994,DENNIS MARSHALL,LINDEN-MARSHALL CONTRACTING INC
MN,401 SOUTH END AVENUE,4000,BPC,155332000,NYC DEPARTMENT OF TRANSPORTATION,05/03/2012,MATT DIGIORGI,PLAZA CONSTRUCTION CORP,GC
MN,320 ALBANY STREET,123284,BPC,18347900,HUDSON TOWER,05/05/1997,BRUCE LOWEY,JH. LOEWY INC,MP
MN,401 SOUTH END AVENUE,4000,BPC,155332000,NYC DEPARTMENT OF TRANSPORTATION,04/26/2013,MATT DI GIORGI,PLAZA CONSTRUCTION CORP,GC
MN,401 SOUTH END AVENUE,4000,BPC,155332000,NYC DEPARTMENT OF TRANSPORTATION,04/26/2013,MATT DI GIORGI,PLAZA CONSTRUCTION CORP,GC
MN,2 SOUTH END AVENUE,157584,BPC,24404400,COVE CLUB CONDO,02/28/2017,JOANNA FAN,PRESCHOOL OF AMERICA(USA),GC
MN,2 SOUTH END AVENUE,157584,BPC,24404400,COVE CLUB CONDO,02/28/2017,JOANNA FAN,PRESCHOOL OF AMERICA(USA),GC
MN,200 VESEY STREET,2233692,BPC,168615000,AMERICAN EXPRESS CO,01/21/1997,PETER KANE,AMERICAN EXPRESS
MN,225 LIBERTY STREET,2267925,BPC,306093000,WFP TOWER B CO LP,11/08/2000,LASZLO KORBI,ASHIAND PLUMBING CORP.,MP
MN,250 VESEY STREET,2084079,BPC,193659000,WFP TOWER D CO LP,12/28/2016,THOMAS GALLAGHER,STRUCTURE TONE INC,GC
MN,320 ALBANY STREET,123284,BPC,18347900,HUDSON TOWER,11/06/1992,MONROE SCHWARTZ,LAKESIDE TECHNL. PLM. & HTNG,MP
MN,225 LIBERTY STREET,2267925,BPC,306093000,WFP TOWER B CO LP,10/06/2015,RON OLSON,TURNER CONSTRUCTION COMPA,GC
MN,250 VESEY STREET,2084079,BPC,193659000,WFP TOWER D CO LP,12/24/2015,THOMAS GALLAGHER,STRUCTURE TONE INC,GC
MN,1 NORTH END AVENUE,502000,BPC,59505300,BOP ONE NORTH END LLC,12/31/2014,KEVIN BARRETT,HUNTER ROBERTS CONST. GRP,GC
MN,225 LIBERTY STREET,2267925,BPC,306093000,WFP TOWER B CO LP,06/24/2014,THOMAS GALLAGHER,STRUCTURE TONE INC,GC
MN,300 RECTOR PLACE,106271,BPC,17838900,BATTERY POINTE CONDOMINIUMS-C/O BHS,12/15/1999,MAGD SOLIMAN,KING SOLIMAN CONSTRUCTION CORP.,GC
MN,377 RECTOR PLACE,178580,BPC,28438200,LIBERTY HOUSE CONDOMINIUM,12/15/2014,GEORGE KALERGIOS,TRES CONSTRUCTION LLC,GC
MN,200 LIBERTY STREET,1501878,BPC,170965000,BROOKFIELD PROPERTIES ONE WFC CO. LLC,01/02/2014,PAUL WIESENBERG,WIESENBERG INC,MP
MN,2 SOUTH END AVENUE,157584,BPC,24404400,COVE CLUB CONDO,04/24/2017,ROBERT MIDROY,CATMAN PLUMBING INC,MP
MN,401 SOUTH END AVENUE,4000,BPC,155332000,NYC DEPARTMENT OF TRANSPORTATION,11/13/2014,JAMES ROBINSON,PLAZA CONSTRUCTION LLC,GC
MN,401 SOUTH END AVENUE,4000,BPC,155332000,NYC DEPARTMENT OF TRANSPORTATION,11/13/2014,JAMES ROBINSON,PLAZA CONSTRUCTION LLC,GC
MN,401 SOUTH END AVENUE,4000,BPC,155332000,NYC DEPARTMENT OF TRANSPORTATION,05/01/2013,MATT DIGIORGI,PLAZA CONSTRUCTION CORP,GC
MN,225 LIBERTY STREET,2267925,BPC,306093000,WFP TOWER B CO LP,09/27/2013,THOMAS PARSONS,TISHMAN INTERIORS CORP,GC
MN,225 LIBERTY STREET,2267925,BPC,306093000,WFP TOWER B CO LP,09/27/2013,THOMAS PARSONS,TISHMAN INTERIORS CORP,GC
MN,200 LIBERTY STREET,1501878,BPC,170965000,BROOKFIELD PROPERTIES ONE WFC CO. LLC,01/28/2014,ANTONINA CARUSO,HOLT CONSTRUCTION CORP,GC
MN,225 LIBERTY STREET,2267925,BPC,306093000,WFP TOWER B CO LP,11/29/2016,NORBET RAHM,TURNER CONSTRUCTION COMPA,GC
MN,18 1 PLACE,114100,BPC,34085200,MUSEUM OF JEWISH HERITAGE,05/24/2004,LARRY BEST,F.J. SCIAME CONSTRUCTION CO.,GC
MN,18 1 PLACE,114100,BPC,34085200,MUSEUM OF JEWISH HERITAGE,05/24/2004,LARRY BEST,F.J. SCIAME CONSTRUCTION CO.,GC
MN,1 NORTH END AVENUE,502000,BPC,59505300,BOP ONE NORTH END LLC,03/17/2003,KEVIN POWERS,JT MAGEN CO,GC
MN,345 SOUTH END AVENUE,1881621,BPC,192295000,BATTERY PARK CITY AUTHORY,05/24/1995,DAVID MAMMINA,DAVID MAMMINA ARCH
MN,250 VESEY STREET,2084079,BPC,193659000,WFP TOWER D CO LP,10/10/2019,THOMAS GALLAGHER,STRUCTURE TONE LLC,GC
MN,345 SOUTH END AVENUE,1881621,BPC,192295000,BATTERY PARK CITY AUTHORY,05/24/1995,DAVID MAMMINA,DAVID MAMMINA ARCH
MN,250 VESEY STREET,2084079,BPC,193659000,WFP TOWER D CO LP,10/10/2019,THOMAS GALLAGHER,STRUCTURE TONE LLC,GC
MN,345 SOUTH END AVENUE,1881621,BPC,192295000,BATTERY PARK CITY AUTHORY,02/28/2017,MATTHEW SIKIRIC,BUILD-SOURCE CORP,GC
MN,345 SOUTH END AVENUE,1881621,BPC,192295000,BATTERY PARK CITY AUTHORY,02/28/2017,MATTHEW SIKIRIC,BUILD-SOURCE CORP,GC
MN,21 SOUTH END AVENUE,194762,BPC,30076700,REGATTA CONDOMINIUM,01/30/1995,DAVID BOK,ABACUS CONST
MN,250 VESEY STREET,2084079,BPC,193659000,WFP TOWER D CO LP,06/25/2015,WILLIAMS REYNOLDS,BENCHMARK BUILDERS INC,GC
MN,200 VESEY STREET,2233692,BPC,168615000,AMERICAN EXPRESS CO,11/03/2014,JOHN THOMANN,TURNER CONSTRUCTION COMPA,GC
MN,200 VESEY STREET,2233692,BPC,168615000,AMERICAN EXPRESS CO,11/03/2014,JOHN THOMANN,TURNER CONSTRUCTION COMPA,GC
MN,225 LIBERTY STREET,2267925,BPC,306093000,WFP TOWER B CO LP,02/12/2016,NORBET RAHM,TURNER CONSTRUCTION COMPA,GC
MN,250 VESEY STREET,2084079,BPC,193659000,WFP TOWER D CO LP,02/07/2007,JOHN WHITE,STRUCTURE TONE INC,GC
MN,225 LIBERTY STREET,2267925,BPC,306093000,WFP TOWER B CO LP,02/07/2007,KEITH COLTON,WFP TOWER A CO. L.P.C/O BROOKFIE,NW
MN,212 WARREN STREET,289251,BPC,40987400,UNAVAILABLE OWNER,12/18/2017,PATRICK MCGOWAN,MC GOWAN BUILDERS INC,GC
MN,212 WARREN STREET,289251,BPC,40987400,UNAVAILABLE OWNER,12/27/2017,ANTHONY DISABATO,ACCURATE MECHANICAL INC,MP
MN,2 SOUTH END AVENUE,157584,BPC,24404400,COVE CLUB CONDO
MN,200 VESEY STREET,2233692,BPC,168615000,AMERICAN EXPRESS CO,03/20/2018,WILLIAMS REYNOLDS,BENCHMARK BUILDERS INC,GC
MN,225 LIBERTY STREET,2267925,BPC,306093000,WFP TOWER B CO LP,04/17/2018,ANTONINA CARUSO,HOLT CONSTRUCTION CORP,GC
MN,225 LIBERTY STREET,2267925,BPC,306093000,WFP TOWER B CO LP,04/17/2018,ANTONINA CARUSO,HOLT CONSTRUCTION CORP,GC
MN,250 VESEY STREET,2084079,BPC,193659000,WFP TOWER D CO LP,11/06/2019,JOHN HENNESSY,TULLA CONTRACTING CORP,GC
MN,2 SOUTH END AVENUE,157584,BPC,24404400,COVE CLUB CONDO,09/07/2018,ZIMING SHEN,PRESCHOOL OF AMERICA(USA),GC
MN,225 LIBERTY STREET,2267925,BPC,306093000,WFP TOWER B CO LP,01/09/2019,BRYAN SUCHANYC,CROSS MANAGEMENT CORP,GC
MN,225 LIBERTY STREET,2267925,BPC,306093000,WFP TOWER B CO LP,01/09/2019,BRYAN SUCHANYC,CROSS MANAGEMENT CORP,GC
MN,2 SOUTH END AVENUE,157584,BPC,24404400,COVE CLUB CONDO,03/29/2019,ZIMING SHEN,PRESCHOOL OF AMERICA(USA),GC
MN,2 SOUTH END AVENUE,157584,BPC,24404400,COVE CLUB CONDO,03/29/2019,ZIMING SHEN,PRESCHOOL OF AMERICA(USA),GC
MN,200 WEST STREET,2157862,BPC,278424000,GOLDMAN SACHS HEADQUARTERS LLC,07/25/2019,THOMAS GALLAGHER,STRUCTURE TONE LLC,GC
MN,200 WEST STREET,2157862,BPC,278424000,GOLDMAN SACHS HEADQUARTERS LLC,07/25/2019,THOMAS GALLAGHER,STRUCTURE TONE LLC,GC
MN,250 VESEY STREET,2084079,BPC,193659000,WFP TOWER D CO LP,12/23/2019,THOMAS GALLAGHER,STRUCTURE TONE LLC,GC
MN,225 LIBERTY STREET,2267925,BPC,306093000,WFP TOWER B CO LP,02/14/2020,JOHN WHALEN,WHALEN CONSTRUCTION INC,GC
MN,200 VESEY STREET,2233692,BPC,168615000,AMERICAN EXPRESS CO,02/28/2020,ANTONINA CARUSO,HOLT CONSTRUCTION CORP,GC
MN,20 RIVER TERRACE,356786,BPC,50614600,RIVER TERRACE ASSOCIATES,03/17/2020,SIMON BARCOE,KLARACON LLC,GC
