Borough,Address,Total Building Floor Area,Zoning District,Assessed Total Value,Owner Name,Permit Issuance date,Permitte Name,Permittee Business Name,Permittee License Type
MN,,0,C5-5,0,,06/08/2020,GRANT GAGNIER,GILBANE RESIDENTIAL CONST,GC
MN,,0,C5-5,0,,06/08/2020,GRANT GAGNIER,GILBANE RESIDENTIAL CONST,GC
MN,,0,C5-5,0,,03/01/2021,VINCENT ASPROMONTE JR,ASPRO PLUMBING INC,MP
MN,,0,C5-5,0,,03/30/2021,VINCENT ASPROMONTE JR,ASPRO PLUMBING INC,MP
MN,,0,C5-5,0,,07/23/2020,VINCENT ASPROMONTE JR,ASPRO MECHANICAL CONTG IN,MP
MN,,0,C5-5,0,,07/23/2020,VINCENT ASPROMONTE JR,ASPRO MECHANICAL CONTG IN,MP
MN,,0,C5-5,0,,08/13/2020,GRANT GAGNIER,GILBANE RESIDENTIAL CONST,GC
MN,22 THAMES STREET,455815,C5-5,35993600,VS 125 LLC,07/20/2020,CHRISTOPHER MILLS,PLAZA CONSTRUCTION LLC,GC
MN,22 THAMES STREET,455815,C5-5,35993600,VS 125 LLC,12/02/2020,CHRISTOPHER MILLS,PLAZA CONSTRUCTION LLC,GC
MN,22 THAMES STREET,455815,C5-5,35993600,VS 125 LLC,12/03/2020,CHRISTOPHER MILLS,PLAZA CONSTRUCTION LLC,GC
MN,187 BROADWAY,64666,C5-5,4187140,183 BROADWAY OWNER LLC,01/08/2021,ERIC MCGOVERN,PAVARINI MCGOVERN LLC,GC
MN,187 BROADWAY,64666,C5-5,4187140,183 BROADWAY OWNER LLC,02/19/2021,TOMASZ NIEWIADOMSKI,TT MECHANICAL CORP,MP
MN,187 BROADWAY,64666,C5-5,4187140,183 BROADWAY OWNER LLC,02/19/2021,TOMASZ NIEWIADOMSKI,TT MECHANICAL CORP,MP
MN,187 BROADWAY,64666,C5-5,4187140,183 BROADWAY OWNER LLC,12/16/2020,ERIC MCGOVERN,PAVARINI MCGOVERN LLC,GC
MN,11 STONE STREET,59410,C5-5,13348000,PREMIER EMERALD LLC,02/03/2021,DEMETRIOS SKULUDIS,D.D.S. MECH PBG&HTG CORP,MP
MN,11 STONE STREET,59410,C5-5,13348000,PREMIER EMERALD LLC,02/23/2021,FRANCES SANTOS,ANTHONY T. RINALDI LLC,GC
MN,11 STONE STREET,59410,C5-5,13348000,PREMIER EMERALD LLC,06/24/2020,FRANCES SANTOS,ANTHONY T. RINALDI LLC,GC
MN,11 STONE STREET,59410,C5-5,13348000,PREMIER EMERALD LLC,08/07/2020,ANTHONY RINALDI,ANTHONY T. RINALDI LLC,GC
MN,11 STONE STREET,59410,C5-5,13348000,PREMIER EMERALD LLC,10/28/2020,FRANCES SANTOS,ANTHONY T. RINALDI LLC,GC
MN,11 STONE STREET,59410,C5-5,13348000,PREMIER EMERALD LLC,11/16/2020,ANTHONY RINALDI,ANTHONY T. RINALDI LLC,GC
MN,,0,C5-5,0,,12/28/2020,JAMES PALACE,URBAN ATELIER GROUP LLC,GC
MN,,0,C5-5,0,,12/28/2020,JAMES PALACE,URBAN ATELIER GROUP LLC,GC
MN,,0,C5-5,0,,05/15/2020,DAVID D'AMICO,URBAN ATELIER GROUP LLC,GC
MN,,0,C5-5,0,,01/21/2021,CHRISTOPHER STRNAD,PARKVIEW P&H INC,MP
MN,,0,C5-5,0,,09/16/2020,JAMES PALACE,URBAN ATELIER GROUP LLC,GC
MN,50 TRINITY PLACE,74373,C5-5,4635900,TRINITY NYC HOTEL LLC,01/19/2021,ROBERT PALUMBO,CAULDWELL WINGATE CO LLC,GC
MN,50 TRINITY PLACE,74373,C5-5,4635900,TRINITY NYC HOTEL LLC,01/19/2021,ROBERT PALUMBO,CAULDWELL WINGATE CO LLC,GC
MN,50 TRINITY PLACE,74373,C5-5,4635900,TRINITY NYC HOTEL LLC,01/19/2021,ROBERT PALUMBO,CAULDWELL WINGATE CO LLC,GC
MN,50 TRINITY PLACE,74373,C5-5,4635900,TRINITY NYC HOTEL LLC,03/11/2021,MIKHAIL LITVINENKO,HEADQUARTERS MECH INC,MP
MN,50 TRINITY PLACE,74373,C5-5,4635900,TRINITY NYC HOTEL LLC,07/23/2020,ROBERT PALUMBO,CAULDWELL WINGATE CO LLC,GC
MN,50 TRINITY PLACE,74373,C5-5,4635900,TRINITY NYC HOTEL LLC,07/23/2020,ROBERT PALUMBO,CAULDWELL WINGATE CO LLC,GC
MN,50 TRINITY PLACE,74373,C5-5,4635900,TRINITY NYC HOTEL LLC,10/19/2020,ROBERT PALUMBO,CAULDWELL WINGATE CO LLC,GC
MN,50 TRINITY PLACE,74373,C5-5,4635900,TRINITY NYC HOTEL LLC,10/19/2020,ROBERT PALUMBO,CAULDWELL WINGATE CO LLC,GC
MN,50 TRINITY PLACE,74373,C5-5,4635900,TRINITY NYC HOTEL LLC,10/19/2020,ROBERT PALUMBO,CAULDWELL WINGATE CO LLC,GC
MN,50 TRINITY PLACE,74373,C5-5,4635900,TRINITY NYC HOTEL LLC,10/19/2020,ROBERT PALUMBO,CAULDWELL WINGATE CO LLC,GC
MN,50 TRINITY PLACE,74373,C5-5,4635900,TRINITY NYC HOTEL LLC,10/19/2020,ROBERT PALUMBO,CAULDWELL WINGATE CO LLC,GC
MN,50 TRINITY PLACE,74373,C5-5,4635900,TRINITY NYC HOTEL LLC,07/23/2020,ROBERT PALUMBO,CAULDWELL WINGATE CO LLC,GC
MN,50 TRINITY PLACE,74373,C5-5,4635900,TRINITY NYC HOTEL LLC,07/23/2020,ROBERT PALUMBO,CAULDWELL WINGATE CO LLC,GC
MN,50 TRINITY PLACE,74373,C5-5,4635900,TRINITY NYC HOTEL LLC,08/11/2020,ROBERT PALUMBO,CAULDWELL WINGATE CO LLC,GC
MN,50 TRINITY PLACE,74373,C5-5,4635900,TRINITY NYC HOTEL LLC,08/11/2020,ROBERT PALUMBO,CAULDWELL WINGATE CO LLC,GC
MN,50 TRINITY PLACE,74373,C5-5,4635900,TRINITY NYC HOTEL LLC,08/26/2020,ROBERT PALUMBO,CAULDWELL WINGATE CO LLC,GC
MN,50 TRINITY PLACE,74373,C5-5,4635900,TRINITY NYC HOTEL LLC,10/19/2020,ROBERT PALUMBO,CAULDWELL WINGATE CO LLC,GC
MN,43 BROAD STREET,0,C5-5,9361800,MADISON 45 BROAD DEVELOPMENT LLC,01/11/2021,CHRISTOPHER MILLS,PLAZA CONSTRUCTION LLC,GC
MN,43 BROAD STREET,0,C5-5,9361800,MADISON 45 BROAD DEVELOPMENT LLC,01/20/2021,CHRISTOPHER MILLS,PLAZA CONSTRUCTION LLC,GC
MN,120 WATER STREET,54432,C5-5,7675200,120-122 WATER STREET LLC,01/28/2021,MARK TALALOVSKY,HF GROUP PLMBG & SPNKLER,MP
MN,120 WATER STREET,54432,C5-5,7675200,120-122 WATER STREET LLC,01/28/2021,MARK TALALOVSKY,HF GROUP PLMBG & SPNKLER,MP
MN,120 WATER STREET,54432,C5-5,7675200,120-122 WATER STREET LLC,09/09/2020,ANTHONY RINALDI,ANTHONY T. RINALDI LLC,GC
MN,215 PEARL STREET,148868,C5-5,28955700,LAM PEARL STREET HOTEL LLC,04/21/2020,RICHARD CAIAZZO,CLOVERDALE MASTER P&H INC,MP
MN,215 PEARL STREET,148868,C5-5,28955700,LAM PEARL STREET HOTEL LLC,06/25/2020,ANTHONY RINALDI,ANTHONY T. RINALDI LLC,GC
MN,215 PEARL STREET,148868,C5-5,28955700,LAM PEARL STREET HOTEL LLC,07/06/2020,JOHN LOVETRO,N B PLUMBING & HEATINGINC,MP
MN,130 WILLIAM STREET,424448,C6-4,38050200,130 WILLIAM STREET ASSOCIATES LLC,06/29/2020,GRANT GAGNIER,GILBANE RESIDENTIAL CONST,GC
MN,130 WILLIAM STREET,424448,C6-4,38050200,130 WILLIAM STREET ASSOCIATES LLC,09/23/2020,GRANT GAGNIER,GILBANE RESIDENTIAL CONST,GC
MN,34 PARK ROW,83552,C5-5,8484750,ONE BEEKMAN OWNER LLC,12/29/2020,JOSEPH CHIARELLI,CONSIGLI & ASSOCIATES LLC,GC
MN,34 PARK ROW,83552,C5-5,8484750,ONE BEEKMAN OWNER LLC,12/16/2020,JOSEPH CHIARELLI,CONSIGLI & ASSOCIATES LLC,GC
MN,98 FRANKLIN STREET,26313,C6-2A,4393350,DDG 100 FRANKLIN LLC,09/10/2020,JOSEPH MILOHNIC,FORWARD MECHANICAL CORP,MP
