Borough,Address,Number of Floors,Zoning District,Year Built,Building Class,Filing Status,Filing Date,Owner Name,Owner Bus Name,Qewi Name,Qewi Bus Name
MANHATTAN,BROAD STREET 117,40,C5-5,1970,RB,UNSAFE,03/16/2017,DAWN  KEYS,125 BROAD CONDOMINIUM,TIMOTHY  WEBB,O&amp;S ASSOCIATES
MANHATTAN,BROAD STREET 102,0,C5-5,0,U4,UNSAFE,08/20/2012,VERIZON NEW YORK INC,CHARLES A MERRITT,MERRITT.ENGINEERING CONSULTANTS
MANHATTAN,BROAD STREET 102,0,C5-5,0,U4,UNSAFE,05/15/2019,DAVID  RICCITELLI,VERIZON NEW YORK INC,CHARLES  MERRITT,MERRITT ENGINEERING CONSULTING P.C
MANHATTAN,BROAD STREET 90,24,C5-5,1930,O4,UNSAFE,02/09/2018,JOSHUA  TURMAN,BROAD STREET PLAZA LLC,DOM  DIAZ,DIAZ ARCHITECTS INC.PA
MANHATTAN,WEST STREET 18,45,C5-5,1930,RM,UNSAFE,02/17/2012,DOWNTOWN CLUB CONDO,ROBERT A LENAHAN,ROBERT A. LENAHAN ARCH
MANHATTAN,BROADWAY 57,33,C5-5,1913,O4,UNSAFE,07/26/2018,MARIELLEN  SEREDUKE,RXR 61 BROADWAY OWNER LLC,SARA  TSIROPINAS,RAND ENGINEERING & ARCHITECTURE DPC
MANHATTAN,EXCHANGE PLACE 43,26,C5-5,1904,D5,UNSAFE,10/28/2005,WHM ASSOCIATES,GORDON  SMITH,GORDON H. SMITH CORPORATION
MANHATTAN,EXCHANGE PLACE 20,57,C5-5,1931,RM,UNSAFE,06/18/2012,RBNY 20 OWNER LLC,HOWARD L ZIMMERMAN,HOWARD L. ZIMMERMAN ARCH
MANHATTAN,BEAVER STREET 66,24,C5-5,1962,O4,UNSAFE,09/27/2017,SCOTT  DISARNO,CIM Group,ERIN  FISHER,CANY
MANHATTAN,WALL STREET 99,27,C6-9,1931,RM,UNSAFE,08/20/2020,MICHAEL  WOLFE,101 Wall Condominium,EVAN  PETKANAS,STONE ENGINEERING & ARCHITECTURE DP
MANHATTAN,FRONT STREET 129,8,C6-9,1961,H3,UNSAFE,02/04/2008,FRONT PROPERTY HOTEL CORP,ALAN S EPSTEIN,EPSTEIN ENGINEERING P.C
MANHATTAN,WALL STREET 100,29,C6-9,1969,O4,UNSAFE,02/21/2007,100 WALL ST PROPERTY LLC,HOWARD B SPIVAK,HOWARD B. SPIVAK
MANHATTAN,PINE STREET 50,12,C5-5,1902,RM,UNSAFE,01/17/2019,ARLINE  KOB,FIFTY PINE STREET CONDOMINIUM,AMR  HAFEZ,AMR ENGINEERING CONSULTANT P.C.
MANHATTAN,TRINITY PLACE 96,10,C5-5,1958,W1,UNSAFE,07/06/2015,THE CHETRIT GROUP LLC,MICHAEL J LARKIN,RAND ENGINEERING & ARCHITECT
