Borough,Address,Sale Date,Sale Price
MN,4 LEXINGTON AVENUE,07/08/2019,550000
MN,4 LEXINGTON AVENUE,07/15/2019,405750
MN,4 LEXINGTON AVENUE,07/18/2019,402550
MN,4 LEXINGTON AVENUE,07/09/2019,1450000
MN,160 EAST 26 STREET,07/01/2019,735000
MN,132 EAST 35 STREET,07/22/2019,895000
MN,132 EAST 35 STREET,07/30/2019,0
MN,166 EAST 35 STREET,07/31/2019,365000
MN,404 WEST 48 STREET,07/16/2019,422000
MN,421 WEST 57 STREET,07/30/2019,329164
MN,413 WEST 57 STREET,07/01/2019,326500
MN,25 WEST 64 STREET,08/01/2019,410000
MN,50 WEST 67 STREET,07/10/2019,1150000
MN,91 CENTRAL PARK WEST,07/15/2019,1658000
MN,115 CENTRAL PARK WEST,07/22/2019,10100000
MN,115 CENTRAL PARK WEST,07/15/2019,0
MN,115 CENTRAL PARK WEST,07/24/2019,4475000
MN,147 3 AVENUE,07/24/2019,920000
MN,205 EAST 24 STREET,07/17/2019,386000
MN,441 2 AVENUE,07/31/2019,515000
MN,229 EAST 28 STREET,07/30/2019,385000
MN,240 EAST 30 STREET,07/29/2019,299000
MN,140 WEST 69 STREET,07/11/2019,0
MN,3 HANOVER SQUARE,07/12/2019,1825000
MN,161 WEST 73 STREET,07/25/2019,0
MN,240 EAST 32 STREET,08/01/2019,580000
MN,225 EAST 36 STREET,07/10/2019,405000
MN,225 EAST 36 STREET,07/10/2019,625000
MN,333 EAST 14 STREET,07/29/2019,720000
MN,53 LIBERTY STREET,07/25/2019,0
MN,53 LIBERTY STREET,07/29/2019,1300000
MN,310 WEST END AVENUE,07/30/2019,450000
MN,422 2 AVENUE,07/12/2019,0
MN,277 WEST END AVENUE,07/16/2019,0
MN,277 WEST END AVENUE,07/11/2019,0
MN,5 RIVERSIDE DRIVE,07/24/2019,2195000
MN,11 RIVERSIDE DRIVE,07/02/2019,2375000
MN,11 RIVERSIDE DRIVE,07/01/2019,1660000
MN,320 WEST 76 STREET,07/03/2019,1100000
MN,441 COLUMBUS AVENUE,07/01/2019,1400000
MN,80 GOLD STREET,07/30/2019,672000
MN,80 GOLD STREET,07/02/2019,1021000
MN,80 GOLD STREET,07/17/2019,482500
MN,80 GOLD STREET,07/31/2019,860000
MN,80 GOLD STREET,07/29/2019,705000
MN,80 GOLD STREET,07/16/2019,500000
MN,19 WEST 85 STREET,07/01/2019,765000
MN,185 PARK ROW,07/26/2019,900000
MN,185 PARK ROW,07/26/2019,990000
MN,185 PARK ROW,07/25/2019,0
MN,200 CENTRAL PARK SOUTH,07/16/2019,3380000
MN,200 CENTRAL PARK SOUTH,07/31/2019,2400000
MN,200 CENTRAL PARK SOUTH,07/23/2019,790000
MN,126 CHAMBERS STREET,07/22/2019,351384
MN,402 WEST 47 STREET,07/12/2019,0
MN,402 WEST 47 STREET,07/02/2019,2600000
MN,404 WEST 47 STREET,07/02/2019,2600000
MN,404 WEST 47 STREET,07/12/2019,0
MN,57 WEST 93 STREET,07/25/2019,615000
MN,236 WEST 132 STREET,07/19/2019,2135000
MN,716 GREENWICH STREET,07/31/2019,0
MN,335 GREENWICH STREET,08/01/2019,2950000
