Borough,Address,Total Building Floor Area,Number of Floors,Assessed Total Value,Year Built
BK,1965 62 STREET,1440,2,57960,1925
BK,1925 62 STREET,1440,2,57720,1925
BK,1542 EAST 22 STREET,1445,2.5,59040,1925
BK,1933 62 STREET,1440,2,57720,1925
QN,36-11 31 STREET,1463,2,57600,1925
BK,2060 79 STREET,1428,2,58740,1925
BK,1964 61 STREET,1440,2,57720,1925
BK,95 70 STREET,1440,2,59100,1925
BK,2051 WEST 7 STREET,1440,2.5,57840,1925
BK,432 99 STREET,1455,2.75,57840,1925
BK,1963 62 STREET,1440,2,57720,1925
QN,150-15 32 AVENUE,1440,2.5,57960,1925
BK,1913 62 STREET,1440,2,57720,1925
BK,75 70 STREET,1440,2,57060,1925
QN,252-01 LEITH ROAD,1440,2.5,57120,1925
BK,1016 72 STREET,1440,2,57300,1925
BK,41 BAY 17 STREET,1425,2.5,57600,1925
QN,36-09 31 STREET,1463,2,57600,1925
BK,1971 62 STREET,1440,2,57720,1925
QN,48-28 202 STREET,1428,2.5,59040,1925
BK,1952 61 STREET,1440,2,57720,1925
BK,1657 MARINE PARKWAY,1428,2.5,57660,1925
BK,1557 EAST 21 STREET,1432,2.5,57240,1925
QN,21-29 HAZEN STREET,1430,1.75,58800,1925
BK,71 70 STREET,1440,2,57060,1925
BK,91 70 STREET,1440,2,59100,1925
BK,929 81 STREET,1464,2,56940,1925
BK,655 84 STREET,1448,2,57600,1925
BK,1944 61 STREET,1440,2,57720,1925
BK,1530 BENSON AVENUE,1440,2,57180,1925
BK,1954 61 STREET,1440,2,57720,1925
BK,1960 61 STREET,1440,2,57720,1925
BK,1922 61 STREET,1440,2,57720,1925
BK,1935 62 STREET,1440,2,57720,1925
BK,1915 62 STREET,1440,2,57720,1925
BK,962 78 STREET,1456,2,58740,1925
BK,2326 80 STREET,1452,2,57780,1925
BK,1820 74 STREET,1438,2,58200,1925
BK,2330 80 STREET,1452,2,57780,1925
BK,1855 EAST 19 STREET,1416,2.5,57000,1925
BK,6642 SEDGWICK PLACE,1440,2,58500,1925
BK,1950 61 STREET,1440,2,57720,1925
BK,67 70 STREET,1440,2,57660,1925
QN,154-21 12 AVENUE,1468,2,58260,1925
QN,147-22 17 ROAD,1462,2.5,57060,1925
BK,358 94 STREET,1456,2,57420,1925
BK,2046 WEST 8 STREET,1418,2,58380,1925
BK,1871 MARINE PARKWAY,1420,2.75,58200,1925
QN,46-31 190 STREET,1420,2,57900,1925
BK,1061 80 STREET,1421,2,59100,1925
BK,1530 WEST 5 STREET,1416,2,57780,1925
BK,1332 BAY RIDGE PARKWAY,1456,2,58020,1925
QN,75-20 167 STREET,1440,2,57480,1923
BK,7720 10 AVENUE,1456,2,57780,1925
BK,1465 EAST 24 STREET,1416,2.5,58260,1925
BK,1974 61 STREET,1440,2,58800,1925
BK,2048 WEST 8 STREET,1418,2,58380,1925
QN,151-74 20 ROAD,1425,1.5,57600,1925
QN,130-10 58 AVENUE,1446,2.5,57360,1925
BK,360 94 STREET,1456,2,58380,1925
QN,160-12 78 AVENUE,1449,1.75,57120,1925
BK,2139 EAST 19 STREET,1452,2,57780,1925
QN,13-11 138 STREET,1456,2.75,57720,1925
QN,48-30 202 STREET,1428,2.5,57240,1925
BK,2081 EAST 22 STREET,1458,2,56820,1925
BK,3018 AVENUE P,1464,2.5,58920,1925
BK,1973 62 STREET,1440,2,58800,1925
BK,2060 67 STREET,1444,2,57060,1925
BK,2306 80 STREET,1440,2,57000,1925
QN,148-12 NEWPORT AVENUE,1445,1.5,57780,1925
BK,6636 SEDGWICK PLACE,1440,2,58500,1925
