Borough,Address,Violation Type
MN,658 BROADWAY,LL11/98-LOCAL LAW 11/98 - FACADE
MN,14 EAST 4 STREET,LL11/98-LOCAL LAW 11/98 - FACADE
MN,661 BROADWAY,LL11/98-LOCAL LAW 11/98 - FACADE
MN,217 THOMPSON STREET,LL11/98-LOCAL LAW 11/98 - FACADE
MN,417 LAFAYETTE STREET,LL11/98-LOCAL LAW 11/98 - FACADE
MN,708 BROADWAY,LL11/98-LOCAL LAW 11/98 - FACADE
MN,736 BROADWAY,LL11/98-LOCAL LAW 11/98 - FACADE
MN,21 ASTOR PLACE,LL11/98-LOCAL LAW 11/98 - FACADE
MN,2 5 AVENUE,LL11/98-LOCAL LAW 11/98 - FACADE
MN,113 EAST 13 STREET,LL11/98-LOCAL LAW 11/98 - FACADE
MN,787 BROADWAY,LL11/98-LOCAL LAW 11/98 - FACADE
MN,817 BROADWAY,LL11/98-LOCAL LAW 11/98 - FACADE
MN,801 BROADWAY,LL11/98-LOCAL LAW 11/98 - FACADE
MN,42 EAST 12 STREET,LL11/98-LOCAL LAW 11/98 - FACADE
MN,100 BLEECKER STREET,LL11/98-LOCAL LAW 11/98 - FACADE
MN,627 BROADWAY,LL11/98-LOCAL LAW 11/98 - FACADE
MN,54 BLEECKER STREET,LL11/98-LOCAL LAW 11/98 - FACADE
MN,325 LAFAYETTE STREET,LL11/98-LOCAL LAW 11/98 - FACADE
MN,324 LAFAYETTE STREET,LL11/98-LOCAL LAW 11/98 - FACADE
MN,632 BROADWAY,LL11/98-LOCAL LAW 11/98 - FACADE
MN,150 SULLIVAN STREET,LL11/98-LOCAL LAW 11/98 - FACADE
MN,135 WOOSTER STREET,LL11/98-LOCAL LAW 11/98 - FACADE
MN,141 WOOSTER STREET,LL11/98-LOCAL LAW 11/98 - FACADE
MN,598 BROADWAY,LL11/98-LOCAL LAW 11/98 - FACADE
MN,139 SPRING STREET,LL11/98-LOCAL LAW 11/98 - FACADE
MN,108 WOOSTER STREET,LL11/98-LOCAL LAW 11/98 - FACADE
MN,545 BROADWAY,LL11/98-LOCAL LAW 11/98 - FACADE
MN,118 SPRING STREET,LL11/98-LOCAL LAW 11/98 - FACADE
MN,525 BROADWAY,LL11/98-LOCAL LAW 11/98 - FACADE
MN,524 BROADWAY,LL11/98-LOCAL LAW 11/98 - FACADE
MN,520 BROADWAY,LL11/98-LOCAL LAW 11/98 - FACADE
MN,42 WOOSTER STREET,LL11/98-LOCAL LAW 11/98 - FACADE
MN,475 BROADWAY,LL11/98-LOCAL LAW 11/98 - FACADE
MN,235 EAST 13 STREET,LL11/98-LOCAL LAW 11/98 - FACADE
MN,223 2 AVENUE,LL11/98-LOCAL LAW 11/98 - FACADE
MN,57 2 AVENUE,LL11/98-LOCAL LAW 11/98 - FACADE
MN,237 EAST 10 STREET,LL11/98-LOCAL LAW 11/98 - FACADE
MN,91 EAST 3 STREET,LL11/98-LOCAL LAW 11/98 - FACADE
MN,60 2 AVENUE,LL11/98-LOCAL LAW 11/98 - FACADE
MN,60 1 AVENUE,LL11/98-LOCAL LAW 11/98 - FACADE
MN,40 1 AVENUE,LL11/98-LOCAL LAW 11/98 - FACADE
MN,249 BROOME STREET,LL11/98-LOCAL LAW 11/98 - FACADE
MN,205 AVENUE C,LL11/98-LOCAL LAW 11/98 - FACADE
MN,624 EAST 11 STREET,LL11/98-LOCAL LAW 11/98 - FACADE
MN,334 EAST 8 STREET,LL11/98-LOCAL LAW 11/98 - FACADE
MN,204 EAST 7 STREET,LL11/98-LOCAL LAW 11/98 - FACADE
MN,745 EAST 6 STREET,LL11/98-LOCAL LAW 11/98 - FACADE
MN,53 PITT STREET,LL11/98-LOCAL LAW 11/98 - FACADE
MN,288 DELANCEY STREET,LL11/98-LOCAL LAW 11/98 - FACADE
MN,48 CANAL STREET,LL11/98-LOCAL LAW 11/98 - FACADE
MN,22 CATHERINE STREET,LL11/98-LOCAL LAW 11/98 - FACADE
MN,227 MADISON STREET,LL11/98-LOCAL LAW 11/98 - FACADE
MN,345 MADISON STREET,LL11/98-LOCAL LAW 11/98 - FACADE
MN,668 WATER STREET,LL11/98-LOCAL LAW 11/98 - FACADE
MN,272 CHERRY STREET,LL11/98-LOCAL LAW 11/98 - FACADE
MN,45 PIKE STREET,LL11/98-LOCAL LAW 11/98 - FACADE
MN,80 RUTGERS SLIP,LL11/98-LOCAL LAW 11/98 - FACADE
MN,82 RUTGERS SLIP,LL11/98-LOCAL LAW 11/98 - FACADE
MN,265 CHERRY STREET,LL11/98-LOCAL LAW 11/98 - FACADE
MN,286 SOUTH STREET,LL11/98-LOCAL LAW 11/98 - FACADE
MN,322 FDR DRIVE,LL11/98-LOCAL LAW 11/98 - FACADE
MN,128 MOTT STREET,LL11/98-LOCAL LAW 11/98 - FACADE
MN,135 GRAND STREET,LL11/98-LOCAL LAW 11/98 - FACADE
MN,12 VESTRY STREET,LL11/98-LOCAL LAW 11/98 - FACADE
MN,336 CANAL STREET,LL11/98-LOCAL LAW 11/98 - FACADE
MN,54 ELIZABETH STREET,LL11/98-LOCAL LAW 11/98 - FACADE
MN,91 BAXTER STREET,LL11/98-LOCAL LAW 11/98 - FACADE
MN,232 CANAL STREET,LL11/98-LOCAL LAW 11/98 - FACADE
MN,120 WHITE STREET,LL11/98-LOCAL LAW 11/98 - FACADE
MN,8 BEACH STREET,LL11/98-LOCAL LAW 11/98 - FACADE
MN,11 HARRISON STREET,LL11/98-LOCAL LAW 11/98 - FACADE
MN,374 BROADWAY,LL11/98-LOCAL LAW 11/98 - FACADE
MN,111 CENTRE STREET,LL11/98-LOCAL LAW 11/98 - FACADE
MN,196 PARK ROW,LL11/98-LOCAL LAW 11/98 - FACADE
MN,2 LAFAYETTE STREET,LL11/98-LOCAL LAW 11/98 - FACADE
MN,280 BROADWAY,LL11/98-LOCAL LAW 11/98 - FACADE
MN,305 BROADWAY,LL11/98-LOCAL LAW 11/98 - FACADE
MN,97 READE STREET,LL11/98-LOCAL LAW 11/98 - FACADE
MN,125 CHAMBERS STREET,LL11/98-LOCAL LAW 11/98 - FACADE
MN,270 GREENWICH STREET,LL11/98-LOCAL LAW 11/98 - FACADE
MN,208 WEST STREET,LL11/98-LOCAL LAW 11/98 - FACADE
MN,53 PARK PLACE,LL11/98-LOCAL LAW 11/98 - FACADE
MN,1 CENTRE STREET,LL11/98-LOCAL LAW 11/98 - FACADE
MN,20 MADISON STREET,LL11/98-LOCAL LAW 11/98 - FACADE
MN,52 BEEKMAN STREET,LL11/98-LOCAL LAW 11/98 - FACADE
MN,15 PARK ROW,LL11/98-LOCAL LAW 11/98 - FACADE
MN,225 BROADWAY,LL11/98-LOCAL LAW 11/98 - FACADE
MN,135 WILLIAM STREET,LL11/98-LOCAL LAW 11/98 - FACADE
MN,64 FULTON STREET,LL11/98-LOCAL LAW 11/98 - FACADE
MN,111 JOHN STREET,LL11/98-LOCAL LAW 11/98 - FACADE
MN,85 SOUTH STREET,LL11/98-LOCAL LAW 11/98 - FACADE
MN,14 MAIDEN LANE,LL11/98-LOCAL LAW 11/98 - FACADE
MN,140 WASHINGTON STREET,LL11/98-LOCAL LAW 11/98 - FACADE
MN,120 GREENWICH STREET,LL11/98-LOCAL LAW 11/98 - FACADE
MN,101 GREENWICH STREET,LL11/98-LOCAL LAW 11/98 - FACADE
MN,14 WALL STREET,LL11/98-LOCAL LAW 11/98 - FACADE
MN,75 BROAD STREET,LL11/98-LOCAL LAW 11/98 - FACADE
MN,37 WALL STREET,LL11/98-LOCAL LAW 11/98 - FACADE
MN,50 BROAD STREET,LL11/98-LOCAL LAW 11/98 - FACADE
MN,50 BROADWAY,LL11/98-LOCAL LAW 11/98 - FACADE
MN,90 WASHINGTON STREET,LL11/98-LOCAL LAW 11/98 - FACADE
MN,345 CHAMBERS STREET,LL11/98-LOCAL LAW 11/98 - FACADE
MN,20 WEST STREET,LL11/98-LOCAL LAW 11/98 - FACADE
MN,17 BATTERY PLACE,LL11/98-LOCAL LAW 11/98 - FACADE
MN,80 BROAD STREET,LL11/98-LOCAL LAW 11/98 - FACADE
MN,102 BROAD STREET,LL11/98-LOCAL LAW 11/98 - FACADE
MN,33 5 AVENUE,LL11/98-LOCAL LAW 11/98 - FACADE
MN,45 5 AVENUE,LL11/98-LOCAL LAW 11/98 - FACADE
MN,39 WEST 8 STREET,LL11/98-LOCAL LAW 11/98 - FACADE
MN,15 WEST 12 STREET,LL11/98-LOCAL LAW 11/98 - FACADE
MN,31 WEST 12 STREET,LL11/98-LOCAL LAW 11/98 - FACADE
MN,80 5 AVENUE,LL11/98-LOCAL LAW 11/98 - FACADE
MN,43 WEST 13 STREET,LL11/98-LOCAL LAW 11/98 - FACADE
MN,119 VARICK STREET,LL11/98-LOCAL LAW 11/98 - FACADE
MN,147 WAVERLY PLACE,LL11/98-LOCAL LAW 11/98 - FACADE
MN,255 HUDSON STREET,LL11/98-LOCAL LAW 11/98 - FACADE
MN,126 WEST 11 STREET,LL11/98-LOCAL LAW 11/98 - FACADE
MN,125 WEST 12 STREET,LL11/98-LOCAL LAW 11/98 - FACADE
MN,175 WEST 12 STREET,LL11/98-LOCAL LAW 11/98 - FACADE
MN,120 WEST 14 STREET,LL11/98-LOCAL LAW 11/98 - FACADE
MN,350 BLEECKER STREET,LL11/98-LOCAL LAW 11/98 - FACADE
MN,650 WASHINGTON STREET,LL11/98-LOCAL LAW 11/98 - FACADE
MN,111 JANE STREET,LL11/98-LOCAL LAW 11/98 - FACADE
MN,261 11 AVENUE,LL11/98-LOCAL LAW 11/98 - FACADE
MN,531 WEST 21 STREET,LL11/98-LOCAL LAW 11/98 - FACADE
MN,542 WEST 36 STREET,LL11/98-LOCAL LAW 11/98 - FACADE
MN,522 WEST 38 STREET,LL11/98-LOCAL LAW 11/98 - FACADE
MN,264 10 AVENUE,LL11/98-LOCAL LAW 11/98 - FACADE
MN,407 WEST 25 STREET,LL11/98-LOCAL LAW 11/98 - FACADE
MN,139 8 AVENUE,LL11/98-LOCAL LAW 11/98 - FACADE
MN,315 WEST 35 STREET,LL11/98-LOCAL LAW 11/98 - FACADE
MN,347 WEST 36 STREET,LL11/98-LOCAL LAW 11/98 - FACADE
MN,313 WEST 37 STREET,LL11/98-LOCAL LAW 11/98 - FACADE
MN,252 WEST 17 STREET,LL11/98-LOCAL LAW 11/98 - FACADE
MN,196 7 AVENUE,LL11/98-LOCAL LAW 11/98 - FACADE
MN,233 WEST 24 STREET,LL11/98-LOCAL LAW 11/98 - FACADE
MN,241 WEST 29 STREET,LL11/98-LOCAL LAW 11/98 - FACADE
MN,214 WEST 30 STREET,LL11/98-LOCAL LAW 11/98 - FACADE
MN,243 WEST 30 STREET,LL11/98-LOCAL LAW 11/98 - FACADE
MN,249 WEST 34 STREET,LL11/98-LOCAL LAW 11/98 - FACADE
MN,248 WEST 35 STREET,LL11/98-LOCAL LAW 11/98 - FACADE
MN,494 8 AVENUE,LL11/98-LOCAL LAW 11/98 - FACADE
MN,213 WEST 35 STREET,LL11/98-LOCAL LAW 11/98 - FACADE
MN,242 WEST 36 STREET,LL11/98-LOCAL LAW 11/98 - FACADE
MN,252 WEST 37 STREET,LL11/98-LOCAL LAW 11/98 - FACADE
MN,512 7 AVENUE,LL11/98-LOCAL LAW 11/98 - FACADE
MN,580 8 AVENUE,LL11/98-LOCAL LAW 11/98 - FACADE
MN,230 WEST 39 STREET,LL11/98-LOCAL LAW 11/98 - FACADE
MN,251 WEST 39 STREET,LL11/98-LOCAL LAW 11/98 - FACADE
MN,264 WEST 40 STREET,LL11/98-LOCAL LAW 11/98 - FACADE
MN,147 WEST 15 STREET,LL11/98-LOCAL LAW 11/98 - FACADE
MN,641 AVENUE OF THE AMER,LL11/98-LOCAL LAW 11/98 - FACADE
MN,142 WEST 23 STREET,LL11/98-LOCAL LAW 11/98 - FACADE
MN,130 WEST 25 STREET,LL11/98-LOCAL LAW 11/98 - FACADE
MN,146 WEST 26 STREET,LL11/98-LOCAL LAW 11/98 - FACADE
MN,315 7 AVENUE,LL11/98-LOCAL LAW 11/98 - FACADE
MN,151 WEST 28 STREET,LL11/98-LOCAL LAW 11/98 - FACADE
MN,130 WEST 30 STREET,LL11/98-LOCAL LAW 11/98 - FACADE
MN,115 WEST 30 STREET,LL11/98-LOCAL LAW 11/98 - FACADE
MN,401 7 AVENUE,LL11/98-LOCAL LAW 11/98 - FACADE
MN,441 7 AVENUE,LL11/98-LOCAL LAW 11/98 - FACADE
MN,1372 BROADWAY,LL11/98-LOCAL LAW 11/98 - FACADE
MN,1384 BROADWAY,LL11/98-LOCAL LAW 11/98 - FACADE
MN,84 5 AVENUE,LL11/98-LOCAL LAW 11/98 - FACADE
MN,552 AVENUE OF THE AMER,LL11/98-LOCAL LAW 11/98 - FACADE
MN,27 WEST 16 STREET,LL11/98-LOCAL LAW 11/98 - FACADE
MN,118 5 AVENUE,LL11/98-LOCAL LAW 11/98 - FACADE
MN,15 WEST 18 STREET,LL11/98-LOCAL LAW 11/98 - FACADE
MN,3 WEST 18 STREET,LL11/98-LOCAL LAW 11/98 - FACADE
MN,38 WEST 21 STREET,LL11/98-LOCAL LAW 11/98 - FACADE
MN,166 5 AVENUE,LL11/98-LOCAL LAW 11/98 - FACADE
MN,43 WEST 24 STREET,LL11/98-LOCAL LAW 11/98 - FACADE
MN,1115 BROADWAY,LL11/98-LOCAL LAW 11/98 - FACADE
MN,24 WEST 25 STREET,LL11/98-LOCAL LAW 11/98 - FACADE
MN,40 WEST 25 STREET,LL11/98-LOCAL LAW 11/98 - FACADE
MN,208 5 AVENUE,LL11/98-LOCAL LAW 11/98 - FACADE
MN,228 5 AVENUE,LL11/98-LOCAL LAW 11/98 - FACADE
MN,18 WEST 27 STREET,LL11/98-LOCAL LAW 11/98 - FACADE
MN,45 WEST 27 STREET,LL11/98-LOCAL LAW 11/98 - FACADE
MN,1181 BROADWAY,LL11/98-LOCAL LAW 11/98 - FACADE
MN,13 WEST 28 STREET,LL11/98-LOCAL LAW 11/98 - FACADE
MN,1186 BROADWAY,LL11/98-LOCAL LAW 11/98 - FACADE
MN,842 AVENUE OF THE AMER,LL11/98-LOCAL LAW 11/98 - FACADE
MN,3 WEST 29 STREET,LL11/98-LOCAL LAW 11/98 - FACADE
MN,276 5 AVENUE,LL11/98-LOCAL LAW 11/98 - FACADE
MN,286 5 AVENUE,LL11/98-LOCAL LAW 11/98 - FACADE
MN,1226 BROADWAY,LL11/98-LOCAL LAW 11/98 - FACADE
MN,6 WEST 32 STREET,LL11/98-LOCAL LAW 11/98 - FACADE
