Borough,Address,Job Start Date
MN,1 WATER STREET,2105-03-27T00:00:00.000
MN,3 HANOVER SQUARE,2077-10-24T00:00:00.000
MN,82 BEAVER STREET,2107-09-07T00:00:00.000
MN,28 LIBERTY STREET,2107-12-21T00:00:00.000
MN,195 BROADWAY,2105-06-25T00:00:00.000
MN,270 BROADWAY,2103-07-25T00:00:00.000
MN,431 CANAL STREET,2208-06-03T00:00:00.000
MN,145 LUDLOW STREET,2105-06-29T00:00:00.000
MN,335 BOWERY,2106-04-19T00:00:00.000
MN,105 3 AVENUE,2027-08-31T00:00:00.000
MN,475 BROADWAY,2206-04-10T00:00:00.000
MN,557 BROADWAY,2201-05-23T00:00:00.000
MN,133 MERCER STREET,2103-08-29T00:00:00.000
MN,108 WOOSTER STREET,2033-04-17T00:00:00.000
MN,422 WEST BROADWAY,2050-09-26T00:00:00.000
MN,265 ELIZABETH STREET,2103-04-25T00:00:00.000
MN,140 CROSBY STREET,2047-03-03T00:00:00.000
MN,99 MAC DOUGAL STREET,2204-07-22T00:00:00.000
MN,19 WEST 4TH STREET,2050-10-27T00:00:00.000
MN,1 1/2 5 AVENUE,2024-05-14T00:00:00.000
MN,40 5 AVENUE,2201-12-28T00:00:00.000
MN,603 WASHINGTON STREET,2202-11-06T00:00:00.000
MN,137 WEST 12 STREET,2108-08-14T00:00:00.000
MN,65 BANK STREET,2022-05-29T00:00:00.000
MN,360 WEST STREET,2077-03-19T00:00:00.000
MN,517 WEST 29 STREET,2020-04-06T00:00:00.000
MN,501 10 AVENUE,2066-06-26T00:00:00.000
MN,235 WEST 19 STREET,2077-02-01T00:00:00.000
MN,198 8 AVENUE,2044-03-25T00:00:00.000
MN,392 7 AVENUE,2300-08-21T00:00:00.000
MN,260 WEST 36 STREET,2106-12-15T00:00:00.000
MN,240 WEST 40 STREET,2108-08-09T00:00:00.000
MN,110 WEST 40 STREET,2131-06-20T00:00:00.000
MN,32 WEST 18 STREET,2024-05-14T00:00:00.000
MN,11 WEST 18 STREET,2108-07-23T00:00:00.000
MN,1240 BROADWAY,2109-07-25T00:00:00.000
MN,25 WEST 36 STREET,2203-11-26T00:00:00.000
MN,452 5 AVENUE,2041-01-24T00:00:00.000
MN,54 WEST 40 STREET,2033-07-23T00:00:00.000
MN,242 PARK AVENUE SOUTH,2050-10-28T00:00:00.000
MN,240 PARK AVENUE SOUTH,2100-07-13T00:00:00.000
MN,63 MADISON AVENUE,2020-07-08T00:00:00.000
MN,259 5 AVENUE,2077-01-18T00:00:00.000
MN,16 EAST 39 STREET,2091-02-12T00:00:00.000
MN,36 GRAMERCY PARK EAST,2103-06-04T00:00:00.000
MN,210 EAST 22 STREET,2047-03-03T00:00:00.000
MN,225 EAST 23 STREET,2107-07-11T00:00:00.000
MN,212 EAST 39 STREET,2201-09-20T00:00:00.000
MN,318 2 AVENUE,2077-02-12T00:00:00.000
MN,308 EAST 30 STREET,2105-06-25T00:00:00.000
MN,342 1 AVENUE,2048-08-16T00:00:00.000
MN,25-00 FDR DRIVE,2100-08-24T00:00:00.000
MN,1440 BROADWAY,2108-09-19T00:00:00.000
MN,114 WEST 47 STREET,2107-04-05T00:00:00.000
MN,787 7 AVENUE,2201-06-15T00:00:00.000
MN,146 WEST 57 STREET,2047-03-03T00:00:00.000
MN,230 WEST 41 STREET,2020-09-20T00:00:00.000
MN,229 WEST 43 STREET,2105-04-16T00:00:00.000
MN,1631 BROADWAY,2077-01-09T00:00:00.000
MN,1680 BROADWAY,2105-05-05T00:00:00.000
